x,rho,u,p
0,1,0,1
0.01,1,5.48579e-17,1
0.02,1,-3.38636e-16,1
0.03,1,3.88019e-16,1
0.04,1,5.46046e-15,1
0.05,1,-2.714e-16,1
0.06,1,-3.63257e-14,1
0.07,1,-1.18946e-15,1
0.08,1,2.30938e-13,1
0.09,1,3.07048e-14,1
0.1,1,-1.4325e-12,1
0.11,1,-4.52748e-13,1
0.12,1,8.46506e-12,1
0.13,1,4.8544e-12,1
0.14,1,-4.71479e-11,1
0.15,1,-4.32261e-11,1
0.16,1,2.4297e-10,1
0.17,1,3.34627e-10,1
0.18,1,-1.12243e-09,1
0.19,1,-2.28684e-09,1
0.2,1,4.36302e-09,1
0.21,1,1.37915e-08,1
0.22,1,-1.18374e-08,1
0.23,1,-7.2149e-08,1
0.24,1,-5.6994e-10,1
0.25,1,3.16283e-07,1
0.26,1,2.77616e-07,1
0.27,1,-1.03899e-06,1
0.28,1,-2.10416e-06,1
0.29,0.999998,1.90147e-06,0.999998
0.3,0.999991,1.04056e-05,0.999988
0.31,0.999994,7.09207e-06,0.999992
0.32,1.00002,-2.22578e-05,1.00003
0.33,1.00004,-4.05624e-05,1.00005
0.34,0.999946,7.74306e-05,0.999897
0.35,0.999472,0.00064872,0.999202
0.36,0.997978,0.00241644,0.997114
0.37,0.993946,0.00718095,0.991512
0.38,0.983679,0.0193823,0.97726
0.39,0.959571,0.0486016,0.943865
0.4,0.919286,0.0987564,0.88883
0.41,0.868816,0.164009,0.821321
0.42,0.814503,0.237764,0.750361
0.43,0.760216,0.315594,0.68126
0.44,0.707917,0.394936,0.616508
0.45,0.65857,0.474226,0.557143
0.46,0.612638,0.552353,0.503519
0.47,0.570274,0.628567,0.455473
0.48,0.531513,0.702909,0.41248
0.49,0.496266,0.775757,0.374408
0.5,0.463882,0.841244,0.342205
0.51,0.436416,0.89588,0.317142
0.52,0.424759,0.928822,0.303867
0.53,0.422957,0.941821,0.297261
0.54,0.423755,0.942368,0.296155
0.55,0.423821,0.936795,0.299739
0.56,0.421045,0.925625,0.30465
0.57,0.407195,0.916088,0.306683
0.58,0.378101,0.919528,0.304367
0.59,0.345923,0.923853,0.303248
0.6,0.315299,0.924153,0.30332
0.61,0.287165,0.921561,0.302606
0.62,0.265982,0.922021,0.302109
0.63,0.255093,0.927265,0.302639
0.64,0.249717,0.927457,0.30227
0.65,0.245958,0.91799,0.298689
0.66,0.240804,0.871027,0.282137
0.67,0.212849,0.645088,0.217934
0.68,0.150918,0.22082,0.131448
0.69,0.128383,0.0302968,0.104031
0.7,0.125361,0.00323777,0.10047
0.71,0.124994,4.83624e-05,0.100009
0.72,0.12499,-9.41636e-05,0.0999858
0.73,0.125006,3.80495e-05,0.100005
0.74,0.125002,1.76894e-05,0.100002
0.75,0.124999,-6.22356e-06,0.0999992
0.76,0.125,-1.64348e-06,0.0999998
0.77,0.125,1.21323e-06,0.1
0.78,0.125,1.09737e-07,0.1
0.79,0.125,-2.03038e-07,0.1
0.8,0.125,8.86748e-09,0.1
0.81,0.125,3.22867e-08,0.1
0.82,0.125,-5.13179e-09,0.1
0.83,0.125,-4.82851e-09,0.1
0.84,0.125,1.30479e-09,0.1
0.85,0.125,6.82316e-10,0.1
0.86,0.125,-2.63239e-10,0.1
0.87,0.125,-9.04684e-11,0.1
0.88,0.125,4.69701e-11,0.1
0.89,0.125,1.11093e-11,0.1
0.9,0.125,-7.70427e-12,0.1
0.91,0.125,-1.22918e-12,0.1
0.92,0.125,1.18209e-12,0.1
0.93,0.125,1.14652e-13,0.1
0.94,0.125,-1.70943e-13,0.1
0.95,0.125,-6.7554e-15,0.1
0.96,0.125,2.39172e-14,0.1
0.97,0.125,3.0587e-17,0.1
0.98,0.125,-2.99652e-15,0.1
0.99,0.125,-9.79583e-17,0.1
1,0.125,0,0.1
