x,rho,u,p
0,1,0,1
0.01,1,-7.41698e-15,1
0.02,1,-8.16885e-14,1
0.03,1,-5.05879e-15,1
0.04,1,4.75289e-13,1
0.05,1,1.79385e-13,1
0.06,1,-2.55748e-12,1
0.07,1,-1.98266e-12,1
0.08,1,1.27589e-11,1
0.09,1,1.62299e-11,1
0.1,1,-5.73917e-11,1
0.11,1,-1.1196e-10,1
0.12,1,2.19849e-10,1
0.13,1,6.72978e-10,1
0.14,1,-6.11464e-10,1
0.15,1,-3.53078e-09,1
0.16,1,2.46626e-10,1
0.17,1,1.58311e-08,1
0.18,1,1.15687e-08,1
0.19,1,-5.71348e-08,1
0.2,1,-9.82677e-08,1
0.21,1,1.37989e-07,1
0.22,1,5.21108e-07,0.999999
0.23,1,1.8292e-08,1
0.24,1,-1.89493e-06,1
0.25,1,-2.20303e-06,1
0.26,0.999996,4.07313e-06,0.999995
0.27,0.999989,1.31427e-05,0.999984
0.28,0.999995,6.00252e-06,0.999993
0.29,1.00002,-2.80299e-05,1.00003
0.3,1.00004,-4.65031e-05,1.00006
0.31,0.999947,7.38065e-05,0.999904
0.32,0.99949,0.000623152,0.999237
0.33,0.99812,0.00224536,0.997321
0.34,0.994599,0.00640962,0.992423
0.35,0.986037,0.0165832,0.980522
0.36,0.96667,0.0399558,0.953652
0.37,0.93449,0.0796372,0.909483
0.38,0.893797,0.131341,0.854547
0.39,0.849437,0.189928,0.795766
0.4,0.804457,0.251927,0.737377
0.41,0.760356,0.315482,0.681377
0.42,0.717798,0.379666,0.628563
0.43,0.677132,0.443896,0.57926
0.44,0.638614,0.507661,0.533633
0.45,0.602402,0.570517,0.491698
0.46,0.568321,0.632462,0.453171
0.47,0.535724,0.69434,0.417358
0.48,0.504448,0.756514,0.383634
0.49,0.477414,0.815758,0.354216
0.5,0.456194,0.863276,0.332252
0.51,0.435668,0.90318,0.313335
0.52,0.422292,0.929197,0.302776
0.53,0.418984,0.938538,0.299252
0.54,0.421005,0.939853,0.298218
0.55,0.425192,0.935721,0.299794
0.56,0.429068,0.928389,0.302919
0.57,0.430166,0.921639,0.306089
0.58,0.426044,0.919102,0.307249
0.59,0.412466,0.922887,0.305613
0.6,0.387899,0.926142,0.304079
0.61,0.356218,0.925444,0.303255
0.62,0.323,0.925055,0.3026
0.63,0.292711,0.926209,0.30187
0.64,0.269012,0.926066,0.301012
0.65,0.255869,0.926503,0.300741
0.66,0.251573,0.92812,0.301449
0.67,0.250771,0.927585,0.302089
0.68,0.251432,0.925252,0.301987
0.69,0.252713,0.918205,0.29946
0.7,0.252961,0.890682,0.289204
0.71,0.237872,0.756552,0.248511
0.72,0.17326,0.371003,0.157732
0.73,0.132363,0.0642844,0.108624
0.74,0.125931,0.00829326,0.101112
0.75,0.125059,0.000542329,0.100097
0.76,0.124977,-0.00014736,0.0999787
0.77,0.125003,6.90223e-06,0.0999999
0.78,0.125004,3.62199e-05,0.100005
0.79,0.125,-1.33252e-06,0.0999998
0.8,0.124999,-4.89176e-06,0.0999994
0.81,0.125,8.07992e-07,0.1
0.82,0.125,6.80167e-07,0.1
0.83,0.125,-1.88097e-07,0.1
0.84,0.125,-7.98242e-08,0.1
0.85,0.125,3.75336e-08,0.1
0.86,0.125,7.43002e-09,0.1
0.87,0.125,-6.67165e-09,0.1
0.88,0.125,-2.61523e-10,0.1
0.89,0.125,1.09945e-09,0.1
0.9,0.125,-1.03665e-10,0.1
0.91,0.125,-1.69871e-10,0.1
0.92,0.125,3.7576e-11,0.1
0.93,0.125,2.47165e-11,0.1
0.94,0.125,-8.76086e-12,0.1
0.95,0.125,-3.37627e-12,0.1
0.96,0.125,1.7194e-12,0.1
0.97,0.125,4.27226e-13,0.1
0.98,0.125,-2.90239e-13,0.1
0.99,0.125,-5.29735e-14,0.1
1,0.125,0,0.1
