x,rho,u,p
0,1,0,1
0.01,1,5.86827e-15,1
0.02,1,4.31122e-15,1
0.03,1,-5.20985e-14,1
0.04,1,-4.50979e-14,1
0.05,1,2.97215e-13,1
0.06,1,3.38918e-13,1
0.07,1,-1.60163e-12,1
0.08,1,-2.43561e-12,1
0.09,1,7.95018e-12,1
0.1,1,1.6356e-11,1
0.11,1,-3.51565e-11,1
0.12,1,-1.01695e-10,1
0.13,1,1.28113e-10,1
0.14,1,5.78182e-10,1
0.15,1,-2.91114e-10,1
0.16,1,-2.95044e-09,1
0.17,1,-5.88267e-10,1
0.18,1,1.30906e-08,1
0.19,1,1.24147e-08,1
0.2,1,-4.72163e-08,1
0.21,1,-9.23074e-08,1
0.22,1,1.13754e-07,1
0.23,1,4.79645e-07,0.999999
0.24,1,3.43988e-08,1
0.25,1,-1.77572e-06,1
0.26,1,-2.05747e-06,1
0.27,0.999996,4.07935e-06,0.999995
0.28,0.999989,1.27139e-05,0.999985
0.29,0.999996,4.74252e-06,0.999994
0.3,1.00002,-2.91954e-05,1.00004
0.31,1.00004,-4.2679e-05,1.00005
0.32,0.999929,9.64356e-05,0.999874
0.33,0.999421,0.000706166,0.999138
0.34,0.997906,0.00249976,0.99702
0.35,0.993986,0.00713405,0.99157
0.36,0.984343,0.0186041,0.97817
0.37,0.962669,0.0448302,0.948128
0.38,0.927483,0.0884137,0.899951
0.39,0.88376,0.144382,0.841148
0.4,0.836608,0.20732,0.778995
0.41,0.789135,0.273662,0.717793
0.42,0.742855,0.341496,0.659525
0.43,0.698466,0.409809,0.604991
0.44,0.656371,0.477894,0.554532
0.45,0.616822,0.545131,0.508272
0.46,0.57981,0.61121,0.466085
0.47,0.544925,0.676539,0.427423
0.48,0.511859,0.741626,0.391474
0.49,0.482448,0.805076,0.359438
0.5,0.458228,0.858071,0.334643
0.51,0.435041,0.901201,0.314152
0.52,0.422133,0.928977,0.303248
0.53,0.420035,0.93992,0.29889
0.54,0.422496,0.941048,0.297576
0.55,0.426,0.935812,0.299458
0.56,0.428247,0.928098,0.303131
0.57,0.427242,0.921376,0.306524
0.58,0.418695,0.919518,0.307367
0.59,0.39654,0.923088,0.304937
0.6,0.365329,0.92381,0.303125
0.61,0.332493,0.923351,0.302848
0.62,0.301797,0.924513,0.302735
0.63,0.275758,0.924817,0.301666
0.64,0.258789,0.92591,0.300788
0.65,0.252212,0.929105,0.301319
0.66,0.250345,0.92849,0.301923
0.67,0.250015,0.925359,0.301541
0.68,0.250288,0.915118,0.297641
0.69,0.248387,0.866413,0.281521
0.7,0.219074,0.648174,0.219188
0.71,0.152925,0.230606,0.132899
0.72,0.128691,0.0325712,0.10433
0.73,0.125406,0.00361117,0.100518
0.74,0.124998,8.15198e-05,0.100015
0.75,0.124988,-0.000104591,0.0999843
0.76,0.125006,3.67264e-05,0.100005
0.77,0.125002,2.07713e-05,0.100003
0.78,0.124999,-6.03363e-06,0.0999992
0.79,0.125,-2.22079e-06,0.0999997
0.8,0.125,1.21004e-06,0.1
0.81,0.125,2.11156e-07,0.1
0.82,0.125,-2.02915e-07,0.1
0.83,0.125,-6.41309e-09,0.1
0.84,0.125,3.1911e-08,0.1
0.85,0.125,-3.20384e-09,0.1
0.86,0.125,-4.65273e-09,0.1
0.87,0.125,1.13252e-09,0.1
0.88,0.125,6.31117e-10,0.1
0.89,0.125,-2.63069e-10,0.1
0.9,0.125,-7.84658e-11,0.1
0.91,0.125,5.16275e-11,0.1
0.92,0.125,8.6241e-12,0.1
0.93,0.125,-9.15108e-12,0.1
0.94,0.125,-7.51814e-13,0.1
0.95,0.125,1.50582e-12,0.1
0.96,0.125,2.74436e-14,0.1
0.97,0.125,-2.31831e-13,0.1
0.98,0.125,4.53298e-15,0.1
0.99,0.125,2.41769e-14,0.1
1,0.125,0,0.1
