x,rho,u,p
0,1,0,1
0.01,1,3.158e-13,1
0.02,1,7.42914e-13,1
0.03,1,-1.88264e-12,1
0.04,1,-5.11478e-12,1
0.05,1,6.86721e-12,1
0.06,1,2.90471e-11,1
0.07,1,-1.62783e-11,1
0.08,1,-1.48328e-10,1
0.09,1,-2.03469e-11,1
0.1,1,6.66243e-10,1
0.11,1,5.69416e-10,1
0.12,1,-2.50849e-09,1
0.13,1,-4.4362e-09,1
0.14,1,6.94617e-09,1
0.15,1,2.43555e-08,1
0.16,1,-6.09571e-09,1
0.17,1,-1.02009e-07,1
0.18,1,-7.70466e-08,1
0.19,1,3.05089e-07,1
0.2,0.999999,6.13341e-07,0.999999
0.21,1,-3.94369e-07,1
0.22,1,-2.58394e-06,1
0.23,1,-1.80738e-06,1
0.24,0.999995,6.32793e-06,0.999993
0.25,0.999988,1.49578e-05,0.999982
0.26,0.999997,3.54656e-06,0.999996
0.27,1.00003,-3.41364e-05,1.00004
0.28,1.00004,-4.8988e-05,1.00006
0.29,0.999935,8.62652e-05,0.999889
0.3,0.999457,0.000660467,0.999196
0.31,0.998078,0.00229409,0.997266
0.32,0.99464,0.00636011,0.992483
0.33,0.986487,0.0160533,0.981142
0.34,0.968656,0.0375498,0.956393
0.35,0.939763,0.0730622,0.91668
0.36,0.903541,0.118793,0.867613
0.37,0.864063,0.17036,0.815005
0.38,0.823899,0.224824,0.762442
0.39,0.784306,0.280645,0.711613
0.4,0.745815,0.337114,0.663177
0.41,0.708675,0.393852,0.617382
0.42,0.673053,0.450545,0.574358
0.43,0.639097,0.506846,0.534199
0.44,0.606918,0.562467,0.496914
0.45,0.5764,0.617512,0.462234
0.46,0.547061,0.672644,0.429587
0.47,0.518647,0.72816,0.398763
0.48,0.492072,0.782221,0.3706
0.49,0.468912,0.831592,0.346255
0.5,0.450299,0.874676,0.326385
0.51,0.43623,0.908271,0.311537
0.52,0.425033,0.928646,0.302047
0.53,0.418981,0.938182,0.298838
0.54,0.418663,0.938736,0.298956
0.55,0.422144,0.934693,0.30067
0.56,0.427051,0.928313,0.303242
0.57,0.43112,0.922352,0.305689
0.58,0.432304,0.919637,0.306906
0.59,0.428973,0.921386,0.306003
0.6,0.419444,0.925581,0.304094
0.61,0.401746,0.927863,0.303374
0.62,0.375045,0.928718,0.303285
0.63,0.342554,0.9296,0.302862
0.64,0.309537,0.929943,0.302284
0.65,0.28117,0.929072,0.301855
0.66,0.262211,0.926557,0.301363
0.67,0.253649,0.924559,0.301181
0.68,0.251227,0.92503,0.301617
0.69,0.251672,0.925712,0.302197
0.7,0.253662,0.925635,0.302459
0.71,0.256254,0.924173,0.301846
0.72,0.258449,0.917401,0.298877
0.73,0.258128,0.888273,0.288729
0.74,0.239213,0.753048,0.248412
0.75,0.172377,0.371552,0.15803
0.76,0.132343,0.0648826,0.108729
0.77,0.125949,0.00849146,0.101139
0.78,0.125062,0.000569799,0.100102
0.79,0.124977,-0.000149156,0.0999784
0.8,0.125003,5.15434e-06,0.0999997
0.81,0.125004,3.7626e-05,0.100005
0.82,0.125,-9.96595e-07,0.0999999
0.83,0.124999,-5.25002e-06,0.0999993
0.84,0.125,7.82712e-07,0.1
0.85,0.125,7.67394e-07,0.1
0.86,0.125,-1.88529e-07,0.1
0.87,0.125,-9.82741e-08,0.1
0.88,0.125,3.82283e-08,0.1
0.89,0.125,1.09663e-08,0.1
0.9,0.125,-6.81493e-09,0.1
0.91,0.125,-8.73829e-10,0.1
0.92,0.125,1.11326e-09,0.1
0.93,0.125,-8.38013e-12,0.1
0.94,0.125,-1.68242e-10,0.1
0.95,0.125,2.45373e-11,0.1
0.96,0.125,2.35271e-11,0.1
0.97,0.125,-7.23185e-12,0.1
0.98,0.125,-3.11299e-12,0.1
0.99,0.125,9.1033e-13,0.1
1,0.125,0,0.1
