x,rho,u,p
0,1,0,1
0.01,1,-1.56783e-10,1
0.02,1,1.95604e-10,1
0.03,1,1.46478e-09,1
0.04,1,7.73909e-10,1
0.05,1,-4.92911e-09,1
0.06,1,-7.8193e-09,1
0.07,1,1.02339e-08,1
0.08,1,3.91547e-08,1
0.09,1,6.17952e-09,1
0.1,1,-1.29496e-07,1
0.11,1,-1.70825e-07,1
0.12,1,2.288e-07,1
0.13,0.999999,8.40879e-07,0.999999
0.14,1,3.43383e-07,1
0.15,1,-2.16008e-06,1
0.16,1,-3.96014e-06,1
0.17,0.999999,9.02991e-07,0.999999
0.18,0.999989,1.30423e-05,0.999985
0.19,0.999985,1.81288e-05,0.999979
0.2,1,-4.81974e-06,1.00001
0.21,1.00004,-5.00383e-05,1.00006
0.22,1.00005,-5.58708e-05,1.00007
0.23,0.999914,0.000110048,0.999862
0.24,0.999399,0.000724473,0.999126
0.25,0.998032,0.00234326,0.997215
0.26,0.994841,0.00612081,0.992769
0.27,0.987653,0.0146707,0.982759
0.28,0.973098,0.0321771,0.962536
0.29,0.950792,0.0594085,0.931783
0.3,0.923393,0.0935502,0.894414
0.31,0.893609,0.131611,0.85428
0.32,0.863158,0.171601,0.813788
0.33,0.832882,0.212502,0.774087
0.34,0.80312,0.253884,0.735621
0.35,0.774005,0.29557,0.698539
0.36,0.745603,0.33746,0.662901
0.37,0.717963,0.379467,0.62874
0.38,0.691138,0.42149,0.596086
0.39,0.665183,0.463409,0.564971
0.4,0.640143,0.505108,0.535412
0.41,0.616022,0.546528,0.507371
0.42,0.592757,0.587727,0.480739
0.43,0.570235,0.628861,0.455352
0.44,0.548354,0.670083,0.431072
0.45,0.52711,0.711371,0.407874
0.46,0.506659,0.752384,0.385901
0.47,0.487297,0.792453,0.365426
0.48,0.469394,0.83073,0.346711
0.49,0.453564,0.866139,0.330235
0.5,0.440295,0.89599,0.316894
0.51,0.429435,0.918638,0.306863
0.52,0.424018,0.931887,0.301599
0.53,0.423147,0.936424,0.299529
0.54,0.42427,0.93561,0.299526
0.55,0.426029,0.931478,0.301277
0.56,0.427193,0.925771,0.303621
0.57,0.42715,0.921451,0.305505
0.58,0.426448,0.920028,0.306109
0.59,0.425861,0.921347,0.305343
0.6,0.426108,0.924601,0.304114
0.61,0.42694,0.927885,0.302952
0.62,0.427609,0.930135,0.302222
0.63,0.427261,0.930851,0.30209
0.64,0.424437,0.930032,0.302401
0.65,0.415528,0.928853,0.302809
0.66,0.396162,0.92889,0.302799
0.67,0.367644,0.928817,0.302846
0.68,0.334548,0.928596,0.30304
0.69,0.302196,0.9284,0.303115
0.7,0.276,0.92747,0.302835
0.71,0.260294,0.92733,0.302824
0.72,0.253974,0.929095,0.303336
0.73,0.25226,0.929885,0.303732
0.74,0.252996,0.929399,0.303767
0.75,0.255267,0.927621,0.303352
0.76,0.258477,0.925292,0.302696
0.77,0.262089,0.923662,0.30225
0.78,0.2655,0.923362,0.302205
0.79,0.26795,0.92323,0.302175
0.8,0.268723,0.921756,0.301718
0.81,0.266935,0.915051,0.299318
0.82,0.25943,0.884255,0.289373
0.83,0.229654,0.740358,0.24593
0.84,0.165531,0.348945,0.154528
0.85,0.131373,0.058858,0.107971
0.86,0.125844,0.00771455,0.101042
0.87,0.125051,0.000494349,0.100089
0.88,0.124978,-0.000149622,0.0999783
0.89,0.125004,1.032e-05,0.1
0.9,0.125004,3.72573e-05,0.100005
0.91,0.125,-1.8487e-06,0.0999997
0.92,0.124999,-5.26159e-06,0.0999993
0.93,0.125,9.25461e-07,0.1
0.94,0.125,7.8362e-07,0.1
0.95,0.125,-2.18707e-07,0.1
0.96,0.125,-1.04107e-07,0.1
0.97,0.125,4.50323e-08,0.1
0.98,0.125,1.31914e-08,0.1
0.99,0.125,-5.06788e-09,0.1
1,0.125,0,0.1
