x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,6.15869e-17,1
0.14,1,2.17168e-16,1
0.15,1,-1.35086e-15,1
0.16,1,-8.53631e-16,1
0.17,1,1.57932e-14,1
0.18,1,-4.2524e-15,1
0.19,1,-1.48867e-13,1
0.2,1,1.50332e-13,1
0.21,1,1.27318e-12,1
0.22,1,-2.10776e-12,1
0.23,1,-9.99081e-12,1
0.24,1,2.25881e-11,1
0.25,1,7.31733e-11,1
0.26,1,-2.05596e-10,1
0.27,1,-5.10828e-10,1
0.28,1,1.64961e-09,1
0.29,1,3.49258e-09,1
0.3,1,-1.1769e-08,1
0.31,1,-2.37275e-08,1
0.32,1,7.48826e-08,1
0.33,1,1.63665e-07,1
0.34,1,-4.00448e-07,1
0.35,1,-1.0548e-06,1
0.36,0.999999,1.86669e-06,0.999998
0.37,0.999994,7.10322e-06,0.999992
0.38,0.999999,-2.21853e-06,1
0.39,1.00002,-2.64095e-05,1.00003
0.4,0.999996,2.19237e-05,0.999967
0.41,0.999651,0.00043986,0.999432
0.42,0.998196,0.00215513,0.997405
0.43,0.993243,0.00798028,0.99056
0.44,0.977854,0.0261866,0.969333
0.45,0.934774,0.0792299,0.90987
0.46,0.857805,0.179021,0.806674
0.47,0.761429,0.313074,0.683904
0.48,0.66414,0.461326,0.56563
0.49,0.580934,0.602829,0.468274
0.5,0.518113,0.738106,0.396372
0.51,0.466873,0.854824,0.341264
0.52,0.413856,0.916863,0.302414
0.53,0.370946,0.940076,0.291115
0.54,0.346657,0.949707,0.295407
0.55,0.328813,0.947007,0.30362
0.56,0.302734,0.931508,0.31025
0.57,0.258394,0.890094,0.304067
0.58,0.20038,0.673158,0.236992
0.59,0.146645,0.230285,0.135776
0.6,0.128202,0.0318877,0.104349
0.61,0.125361,0.00343024,0.100497
0.62,0.124993,4.82071e-05,0.10001
0.63,0.124988,-0.000104939,0.0999843
0.64,0.125006,3.98395e-05,0.100005
0.65,0.125002,2.1727e-05,0.100003
0.66,0.124999,-6.23196e-06,0.0999992
0.67,0.125,-2.65325e-06,0.0999996
0.68,0.125,1.12644e-06,0.1
0.69,0.125,3.24553e-07,0.1
0.7,0.125,-1.70429e-07,0.1
0.71,0.125,-3.31084e-08,0.1
0.72,0.125,2.39164e-08,0.1
0.73,0.125,2.6923e-09,0.1
0.74,0.125,-3.06057e-09,0.1
0.75,0.125,-1.11471e-10,0.1
0.76,0.125,3.57187e-10,0.1
0.77,0.125,-1.37732e-11,0.1
0.78,0.125,-3.75204e-11,0.1
0.79,0.125,4.44098e-12,0.1
0.8,0.125,3.47743e-12,0.1
0.81,0.125,-7.42012e-13,0.1
0.82,0.125,-2.72854e-13,0.1
0.83,0.125,9.5871e-14,0.1
0.84,0.125,1.66074e-14,0.1
0.85,0.125,-1.03866e-14,0.1
0.86,0.125,-6.50538e-16,0.1
0.87,0.125,8.48652e-16,0.1
0.88,0.125,-6.24088e-17,0.1
0.89,0.125,-4.90631e-18,0.1
0.9,0.125,2.05301e-17,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,-1.8202e-16,0.1
0.99,0.125,-1.58131e-16,0.1
1,0.125,0,0.1
