x,rho,u,p
0,1,0,1
0.01,1,4.19953e-13,1
0.02,1,-1.97375e-12,1
0.03,1,-5.83969e-12,1
0.04,1,6.03306e-12,1
0.05,1,3.19108e-11,1
0.06,1,-8.90491e-12,1
0.07,1,-1.54749e-10,1
0.08,1,-6.44908e-11,1
0.09,1,6.50362e-10,1
0.1,1,7.69832e-10,1
0.11,1,-2.21514e-09,1
0.12,1,-5.07134e-09,1
0.13,1,4.89221e-09,1
0.14,1,2.49807e-08,1
0.15,1,3.67808e-09,1
0.16,1,-9.36341e-08,1
0.17,1,-1.08261e-07,1
0.18,1,2.3404e-07,1
0.19,0.999999,6.49676e-07,0.999999
0.2,1,-7.85079e-08,1
0.21,1,-2.31318e-06,1
0.22,1,-2.58483e-06,1
0.23,0.999996,4.27726e-06,0.999995
0.24,0.999988,1.44683e-05,0.999983
0.25,0.999992,9.0338e-06,0.999989
0.26,1.00002,-2.52285e-05,1.00003
0.27,1.00004,-5.42611e-05,1.00007
0.28,0.999984,2.67729e-05,0.999965
0.29,0.999632,0.000450199,0.999447
0.3,0.998563,0.00171914,0.997945
0.31,0.995854,0.00492463,0.994172
0.32,0.989452,0.0125186,0.985266
0.33,0.97495,0.0299238,0.96511
0.34,0.949618,0.0608598,0.930167
0.35,0.916205,0.102639,0.884682
0.36,0.878783,0.150917,0.834511
0.37,0.840169,0.202517,0.78361
0.38,0.801822,0.255685,0.733972
0.39,0.764371,0.309614,0.686402
0.4,0.728085,0.363918,0.641195
0.41,0.693118,0.418332,0.59848
0.42,0.659608,0.472572,0.558351
0.43,0.627676,0.526334,0.520873
0.44,0.597344,0.579472,0.48597
0.45,0.568393,0.632306,0.453277
0.46,0.540443,0.685395,0.422331
0.47,0.513535,0.738502,0.393218
0.48,0.488465,0.789857,0.366766
0.49,0.4662,0.837224,0.343616
0.5,0.448348,0.878452,0.324698
0.51,0.435716,0.909592,0.311092
0.52,0.426131,0.928909,0.301963
0.53,0.41989,0.937474,0.298457
0.54,0.418575,0.938203,0.298967
0.55,0.42127,0.934123,0.30084
0.56,0.425866,0.928149,0.303409
0.57,0.430263,0.922568,0.305728
0.58,0.432438,0.919846,0.306867
0.59,0.430988,0.92122,0.306078
0.6,0.424925,0.925281,0.304138
0.61,0.412709,0.928152,0.303154
0.62,0.391409,0.928843,0.303055
0.63,0.361803,0.929748,0.302861
0.64,0.328536,0.930605,0.302531
0.65,0.296958,0.930466,0.302372
0.66,0.272219,0.928942,0.30229
0.67,0.257918,0.926025,0.301757
0.68,0.252272,0.924008,0.301423
0.69,0.251103,0.924381,0.301719
0.7,0.252345,0.925406,0.302152
0.71,0.254984,0.925765,0.302366
0.72,0.258023,0.924538,0.301843
0.73,0.260353,0.918309,0.299348
0.74,0.25999,0.893158,0.290622
0.75,0.243396,0.778263,0.255895
0.76,0.178997,0.415524,0.166862
0.77,0.133998,0.0791279,0.110712
0.78,0.126191,0.0106536,0.10142
0.79,0.125092,0.000813945,0.100143
0.8,0.124975,-0.00014633,0.0999789
0.81,0.125001,-1.02694e-05,0.0999974
0.82,0.125005,4.13027e-05,0.100006
0.83,0.125,1.73255e-06,0.1
0.84,0.124999,-6.01551e-06,0.0999992
0.85,0.125,4.48933e-07,0.1
0.86,0.125,9.32871e-07,0.1
0.87,0.125,-1.51664e-07,0.1
0.88,0.125,-1.29032e-07,0.1
0.89,0.125,3.55501e-08,0.1
0.9,0.125,1.62895e-08,0.1
0.91,0.125,-6.90401e-09,0.1
0.92,0.125,-1.73005e-09,0.1
0.93,0.125,1.20431e-09,0.1
0.94,0.125,1.1968e-10,0.1
0.95,0.125,-1.92957e-10,0.1
0.96,0.125,6.98664e-12,0.1
0.97,0.125,2.85602e-11,0.1
0.98,0.125,-4.55337e-12,0.1
0.99,0.125,-3.27267e-12,0.1
1,0.125,0,0.1
