x,rho,u,p
0,1,0,1
0.01,1,4.98596e-18,1
0.02,1,6.98118e-17,1
0.03,1,-1.04549e-16,1
0.04,1,-1.54915e-16,1
0.05,1,2.91725e-15,1
0.06,1,2.75858e-15,1
0.07,1,-2.08572e-14,1
0.08,1,-1.91102e-14,1
0.09,1,1.38905e-13,1
0.1,1,1.27211e-13,1
0.11,1,-8.98087e-13,1
0.12,1,-9.015e-13,1
0.13,1,5.49709e-12,1
0.14,1,6.50226e-12,1
0.15,1,-3.15833e-11,1
0.16,1,-4.63735e-11,1
0.17,1,1.67488e-10,1
0.18,1,3.18109e-10,1
0.19,1,-7.94815e-10,1
0.2,1,-2.04823e-09,1
0.21,1,3.16332e-09,1
0.22,1,1.21021e-08,1
0.23,1,-8.62802e-09,1
0.24,1,-6.37407e-08,1
0.25,1,-3.27757e-09,1
0.26,1,2.87986e-07,1
0.27,1,2.48702e-07,1
0.28,1,-1.00479e-06,1
0.29,1,-1.93504e-06,1
0.3,0.999998,2.18196e-06,0.999997
0.31,0.999992,1.0253e-05,0.999988
0.32,0.999995,5.34615e-06,0.999994
0.33,1.00002,-2.46434e-05,1.00003
0.34,1.00003,-3.56731e-05,1.00005
0.35,0.999917,0.000112643,0.999851
0.36,0.999359,0.000784671,0.999039
0.37,0.997614,0.00284779,0.996604
0.38,0.992872,0.00844801,0.990022
0.39,0.980604,0.0230572,0.972998
0.4,0.952356,0.0574614,0.933936
0.41,0.907126,0.114218,0.872421
0.42,0.852083,0.186309,0.79928
0.43,0.793871,0.266806,0.723898
0.44,0.736413,0.351116,0.651577
0.45,0.681699,0.436451,0.584769
0.46,0.630716,0.520991,0.524462
0.47,0.583927,0.603507,0.47081
0.48,0.541619,0.683397,0.423568
0.49,0.50327,0.759994,0.382313
0.5,0.46718,0.831593,0.346283
0.51,0.438737,0.892947,0.31903
0.52,0.426695,0.929073,0.303623
0.53,0.4236,0.94301,0.29633
0.54,0.422516,0.943168,0.296017
0.55,0.420144,0.935025,0.3003
0.56,0.411694,0.921561,0.304604
0.57,0.388304,0.917479,0.305454
0.58,0.356759,0.92209,0.304233
0.59,0.325499,0.924362,0.303314
0.6,0.296275,0.9219,0.302499
0.61,0.27252,0.921371,0.302568
0.62,0.258416,0.925894,0.303472
0.63,0.250547,0.925291,0.302996
0.64,0.244178,0.911998,0.297651
0.65,0.233985,0.842236,0.272603
0.66,0.192914,0.531941,0.190779
0.67,0.139587,0.127182,0.11743
0.68,0.126822,0.0164355,0.102183
0.69,0.125164,0.00144963,0.100237
0.7,0.124977,-0.00010235,0.0999852
0.71,0.124998,-3.92441e-05,0.0999934
0.72,0.125005,4.15962e-05,0.100006
0.73,0.125,6.06031e-06,0.100001
0.74,0.124999,-6.16555e-06,0.0999992
0.75,0.125,3.03988e-08,0.1
0.76,0.125,1.001e-06,0.1
0.77,0.125,-1.24837e-07,0.1
0.78,0.125,-1.46093e-07,0.1
0.79,0.125,3.75916e-08,0.1
0.8,0.125,2.03088e-08,0.1
0.81,0.125,-8.09902e-09,0.1
0.82,0.125,-2.63074e-09,0.1
0.83,0.125,1.50578e-09,0.1
0.84,0.125,3.12921e-10,0.1
0.85,0.125,-2.54068e-10,0.1
0.86,0.125,-3.26762e-11,0.1
0.87,0.125,3.98248e-11,0.1
0.88,0.125,2.64376e-12,0.1
0.89,0.125,-5.86267e-12,0.1
0.9,0.125,-6.98421e-14,0.1
0.91,0.125,8.14094e-13,0.1
0.92,0.125,-3.28176e-14,0.1
0.93,0.125,-1.06686e-13,0.1
0.94,0.125,1.03707e-14,0.1
0.95,0.125,1.36929e-14,0.1
0.96,0.125,-1.69333e-15,0.1
0.97,0.125,-1.43596e-15,0.1
0.98,0.125,5.76299e-17,0.1
0.99,0.125,-7.3367e-17,0.1
1,0.125,0,0.1
