x,rho,u,p
0,1,0,1
0.01,1,3.32256e-15,1
0.02,1,9.92106e-15,1
0.03,1,-2.39759e-14,1
0.04,1,-7.02728e-14,1
0.05,1,1.29346e-13,1
0.06,1,4.44383e-13,1
0.07,1,-6.35961e-13,1
0.08,1,-2.73312e-12,1
0.09,1,2.65427e-12,1
0.1,1,1.6031e-11,1
0.11,1,-7.87466e-12,1
0.12,1,-8.83992e-11,1
0.13,1,-1.18136e-12,1
0.14,1,4.49066e-10,1
0.15,1,2.53849e-10,1
0.16,1,-2.03779e-09,1
0.17,1,-2.49821e-09,1
0.18,1,7.80229e-09,1
0.19,1,1.69622e-08,1
0.2,1,-2.16475e-08,1
0.21,1,-9.08249e-08,1
0.22,1,1.33676e-08,1
0.23,1,3.85085e-07,1
0.24,1,3.20068e-07,1
0.25,1,-1.15544e-06,1
0.26,1,-2.42052e-06,1
0.27,0.999999,1.53818e-06,0.999998
0.28,0.999991,1.07565e-05,0.999987
0.29,0.999992,9.77144e-06,0.999988
0.3,1.00001,-1.82328e-05,1.00002
0.31,1.00004,-4.60833e-05,1.00006
0.32,0.999982,3.09536e-05,0.999959
0.33,0.999623,0.000464875,0.999424
0.34,0.998468,0.00183556,0.997801
0.35,0.995382,0.0054849,0.993509
0.36,0.987725,0.0145644,0.982872
0.37,0.969524,0.036474,0.957607
0.38,0.937036,0.0764643,0.912951
0.39,0.894247,0.130757,0.855151
0.4,0.846788,0.193487,0.792304
0.41,0.798389,0.260475,0.729616
0.42,0.750959,0.32937,0.669631
0.43,0.70538,0.39894,0.613399
0.44,0.662124,0.468383,0.561354
0.45,0.621486,0.53702,0.513667
0.46,0.583505,0.604453,0.47026
0.47,0.547837,0.670959,0.43062
0.48,0.514179,0.736992,0.39393
0.49,0.484075,0.801449,0.361176
0.5,0.458833,0.85641,0.335394
0.51,0.434973,0.90062,0.314463
0.52,0.422282,0.929036,0.303404
0.53,0.420423,0.94035,0.298729
0.54,0.422845,0.941241,0.29734
0.55,0.426047,0.935741,0.299391
0.56,0.427779,0.928091,0.303308
0.57,0.426027,0.921356,0.306713
0.58,0.415521,0.919469,0.307279
0.59,0.390476,0.922606,0.304482
0.6,0.358273,0.923236,0.302858
0.61,0.325941,0.923364,0.302972
0.62,0.296133,0.924391,0.302768
0.63,0.271458,0.924485,0.301465
0.64,0.256958,0.926154,0.300994
0.65,0.251518,0.929385,0.301566
0.66,0.249926,0.928479,0.301906
0.67,0.249621,0.923023,0.300663
0.68,0.249425,0.904841,0.293713
0.69,0.242209,0.817931,0.265777
0.7,0.192132,0.485267,0.180893
0.71,0.137735,0.106545,0.114441
0.72,0.126602,0.014152,0.101877
0.73,0.125138,0.00120379,0.100202
0.74,0.124975,-0.000123393,0.0999822
0.75,0.124999,-3.05702e-05,0.0999946
0.76,0.125005,4.20911e-05,0.100006
0.77,0.125,5.07173e-06,0.100001
0.78,0.124999,-6.10751e-06,0.0999992
0.79,0.125,4.7366e-08,0.1
0.8,0.125,9.44363e-07,0.1
0.81,0.125,-1.0935e-07,0.1
0.82,0.125,-1.27412e-07,0.1
0.83,0.125,3.31889e-08,0.1
0.84,0.125,1.5479e-08,0.1
0.85,0.125,-7.32134e-09,0.1
0.86,0.125,-1.55449e-09,0.1
0.87,0.125,1.40634e-09,0.1
0.88,0.125,9.68203e-11,0.1
0.89,0.125,-2.46623e-10,0.1
0.9,0.125,7.43352e-12,0.1
0.91,0.125,4.03454e-11,0.1
0.92,0.125,-4.3631e-12,0.1
0.93,0.125,-6.21673e-12,0.1
0.94,0.125,1.09793e-12,0.1
0.95,0.125,9.05847e-13,0.1
0.96,0.125,-2.19809e-13,0.1
0.97,0.125,-1.239e-13,0.1
0.98,0.125,3.65825e-14,0.1
0.99,0.125,1.3491e-14,0.1
1,0.125,0,0.1
