x,rho,u,p
0,1,0,1
0.01,1,-1.979e-12,1
0.02,1,-6.20173e-12,1
0.03,1,8.35199e-12,1
0.04,1,3.6806e-11,1
0.05,1,-1.53135e-11,1
0.06,1,-1.78383e-10,1
0.07,1,-5.92183e-11,1
0.08,1,7.40301e-10,1
0.09,1,8.33566e-10,1
0.1,1,-2.45677e-09,1
0.11,1,-5.54373e-09,1
0.12,1,5.10292e-09,1
0.13,1,2.67824e-08,1
0.14,1,5.71784e-09,1
0.15,1,-9.64533e-08,1
0.16,1,-1.21103e-07,1
0.17,1,2.21059e-07,1
0.18,0.999999,6.79371e-07,0.999999
0.19,1,3.09092e-08,1
0.2,1,-2.24474e-06,1
0.21,1,-2.91368e-06,1
0.22,0.999997,3.43834e-06,0.999996
0.23,0.999988,1.42239e-05,0.999983
0.24,0.99999,1.14693e-05,0.999986
0.25,1.00002,-2.06442e-05,1.00002
0.26,1.00004,-5.53399e-05,1.00007
0.27,1,1.31052e-06,0.999997
0.28,0.999713,0.000353565,0.999563
0.29,0.998795,0.0014445,0.99827
0.3,0.996451,0.00421698,0.995006
0.31,0.990938,0.0107508,0.987334
0.32,0.978358,0.0258131,0.969839
0.33,0.955506,0.053616,0.938253
0.34,0.924413,0.0922648,0.895795
0.35,0.888965,0.137621,0.848079
0.36,0.852029,0.186474,0.799144
0.37,0.81515,0.236988,0.751114
0.38,0.779002,0.288308,0.704872
0.39,0.743861,0.340055,0.660739
0.4,0.709873,0.391997,0.61884
0.41,0.677153,0.443912,0.579259
0.42,0.64582,0.495538,0.542069
0.43,0.615943,0.546652,0.507284
0.44,0.58744,0.597297,0.474721
0.45,0.560051,0.647888,0.444002
0.46,0.533588,0.698719,0.414862
0.47,0.508263,0.749234,0.387541
0.48,0.484663,0.797988,0.3627
0.49,0.463592,0.842909,0.34097
0.5,0.446471,0.881431,0.323248
0.51,0.434486,0.911198,0.310296
0.52,0.426785,0.930147,0.301796
0.53,0.421459,0.937285,0.298344
0.54,0.419262,0.937445,0.298902
0.55,0.420713,0.933195,0.3009
0.56,0.424568,0.927699,0.303467
0.57,0.428886,0.922642,0.305746
0.58,0.431786,0.920149,0.306885
0.59,0.431848,0.921343,0.306167
0.6,0.428464,0.925042,0.304249
0.61,0.420984,0.928215,0.302975
0.62,0.406463,0.929161,0.302771
0.63,0.382168,0.929642,0.302746
0.64,0.350822,0.93046,0.302536
0.65,0.3176,0.930713,0.302499
0.66,0.287892,0.930224,0.302721
0.67,0.266744,0.928962,0.302888
0.68,0.255763,0.92625,0.302317
0.69,0.251617,0.924,0.301636
0.7,0.251191,0.924037,0.301645
0.71,0.253016,0.925108,0.30197
0.72,0.256175,0.925848,0.30225
0.73,0.259626,0.925016,0.302006
0.74,0.262193,0.920183,0.300387
0.75,0.262227,0.903263,0.294299
0.76,0.25125,0.827578,0.270621
0.77,0.197362,0.529048,0.191425
0.78,0.14033,0.133228,0.118439
0.79,0.127056,0.0183643,0.102443
0.8,0.125202,0.00178334,0.100283
0.81,0.124978,-8.40629e-05,0.0999881
0.82,0.124996,-5.72536e-05,0.0999908
0.83,0.125006,4.49199e-05,0.100006
0.84,0.125001,1.07811e-05,0.100001
0.85,0.124999,-7.11374e-06,0.0999991
0.86,0.125,-8.10859e-07,0.0999999
0.87,0.125,1.25207e-06,0.1
0.88,0.125,1.93592e-08,0.1
0.89,0.125,-1.96409e-07,0.1
0.9,0.125,1.54221e-08,0.1
0.91,0.125,2.90254e-08,0.1
0.92,0.125,-5.00066e-09,0.1
0.93,0.125,-3.92515e-09,0.1
0.94,0.125,1.12386e-09,0.1
0.95,0.125,4.70176e-10,0.1
0.96,0.125,-2.15043e-10,0.1
0.97,0.125,-4.4912e-11,0.1
0.98,0.125,3.59544e-11,0.1
0.99,0.125,3.97971e-12,0.1
1,0.125,0,0.1
