x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,3.49133e-17,1
0.03,1,3.50489e-17,1
0.04,1,-3.14458e-16,1
0.05,1,1.42158e-15,1
0.06,1,4.16454e-15,1
0.07,1,-1.03576e-14,1
0.08,1,-2.91563e-14,1
0.09,1,7.04527e-14,1
0.1,1,1.93136e-13,1
0.11,1,-4.62708e-13,1
0.12,1,-1.28596e-12,1
0.13,1,2.81132e-12,1
0.14,1,8.42995e-12,1
0.15,1,-1.56067e-11,1
0.16,1,-5.39261e-11,1
0.17,1,7.67046e-11,1
0.18,1,3.32107e-10,1
0.19,1,-3.09269e-10,1
0.2,1,-1.93357e-09,1
0.21,1,7.71852e-10,1
0.22,1,1.03975e-08,1
0.23,1,1.83625e-09,1
0.24,1,-4.98494e-08,1
0.25,1,-4.13855e-08,1
0.26,1,2.0154e-07,1
0.27,1,3.43386e-07,1
0.28,1,-5.81942e-07,1
0.29,1,-1.94598e-06,1
0.3,0.999999,5.54263e-07,0.999999
0.31,0.999993,8.5345e-06,0.99999
0.32,0.999993,8.68927e-06,0.99999
0.33,1.00001,-1.64188e-05,1.00002
0.34,1.00003,-3.96219e-05,1.00005
0.35,0.999966,5.31923e-05,0.999928
0.36,0.999547,0.000560223,0.999305
0.37,0.998157,0.00220521,0.99736
0.38,0.99428,0.00678572,0.991975
0.39,0.984176,0.0187776,0.977959
0.4,0.9595,0.0486707,0.943779
0.41,0.916664,0.102085,0.885279
0.42,0.862081,0.172937,0.812433
0.43,0.803112,0.253705,0.735731
0.44,0.744343,0.339161,0.661435
0.45,0.688162,0.426075,0.592557
0.46,0.635765,0.512369,0.530355
0.47,0.587726,0.596634,0.475109
0.48,0.544345,0.678091,0.426593
0.49,0.505097,0.755869,0.384364
0.5,0.468261,0.828892,0.347496
0.51,0.439461,0.891992,0.319604
0.52,0.42722,0.929231,0.303537
0.53,0.423664,0.943229,0.296074
0.54,0.421862,0.943106,0.295926
0.55,0.418675,0.934459,0.300347
0.56,0.408384,0.921038,0.304556
0.57,0.383141,0.918163,0.305347
0.58,0.351486,0.922581,0.304284
0.59,0.32051,0.923998,0.303088
0.6,0.291854,0.920989,0.302507
0.61,0.269622,0.923103,0.302756
0.62,0.256951,0.926004,0.303646
0.63,0.249072,0.92268,0.302674
0.64,0.241712,0.90084,0.293557
0.65,0.225855,0.777842,0.25325
0.66,0.171158,0.382968,0.160429
0.67,0.132228,0.0652132,0.108801
0.68,0.125894,0.00816663,0.101097
0.69,0.125055,0.000514661,0.100093
0.7,0.124978,-0.000141071,0.0999795
0.71,0.125004,1.01094e-05,0.1
0.72,0.125004,3.33445e-05,0.100004
0.73,0.125,-2.38935e-06,0.0999997
0.74,0.125,-4.27768e-06,0.0999994
0.75,0.125,1.03288e-06,0.1
0.76,0.125,5.70448e-07,0.1
0.77,0.125,-2.33443e-07,0.1
0.78,0.125,-6.54412e-08,0.1
0.79,0.125,4.57648e-08,0.1
0.8,0.125,6.40376e-09,0.1
0.81,0.125,-8.03904e-09,0.1
0.82,0.125,-4.05581e-10,0.1
0.83,0.125,1.3068e-09,0.1
0.84,0.125,-2.12335e-11,0.1
0.85,0.125,-1.98681e-10,0.1
0.86,0.125,1.44638e-11,0.1
0.87,0.125,2.84158e-11,0.1
0.88,0.125,-3.58468e-12,0.1
0.89,0.125,-3.82778e-12,0.1
0.9,0.125,6.94054e-13,0.1
0.91,0.125,4.84041e-13,0.1
0.92,0.125,-1.18142e-13,0.1
0.93,0.125,-5.69901e-14,0.1
0.94,0.125,1.87366e-14,0.1
0.95,0.125,6.69815e-15,0.1
0.96,0.125,-2.39632e-15,0.1
0.97,0.125,-5.63486e-16,0.1
0.98,0.125,9.25311e-17,0.1
0.99,0.125,-1.3818e-16,0.1
1,0.125,0,0.1
