x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,-6.02863e-17,1
0.1,1,4.87136e-16,1
0.11,1,1.68904e-16,1
0.12,1,-5.99568e-15,1
0.13,1,-6.74502e-16,1
0.14,1,5.01935e-14,1
0.15,1,-1.26095e-14,1
0.16,1,-3.96336e-13,1
0.17,1,2.21977e-13,1
0.18,1,2.9847e-12,1
0.19,1,-2.28325e-12,1
0.2,1,-2.14459e-11,1
0.21,1,1.85509e-11,1
0.22,1,1.47903e-10,1
0.23,1,-1.25257e-10,1
0.24,1,-9.79574e-10,1
0.25,1,6.89516e-10,1
0.26,1,6.20071e-09,1
0.27,1,-2.68843e-09,1
0.28,1,-3.69209e-08,1
0.29,1,1.9155e-09,1
0.3,1,2.02887e-07,1
0.31,1,9.53587e-08,1
0.32,1,-9.61697e-07,1
0.33,1,-1.0562e-06,1
0.34,0.999997,3.90142e-06,0.999995
0.35,0.999993,8.7169e-06,0.99999
0.36,1,-5.73827e-06,1.00001
0.37,1.00003,-3.19504e-05,1.00004
0.38,0.999992,2.41566e-05,0.999965
0.39,0.999647,0.000444001,0.999434
0.4,0.998328,0.00200477,0.997587
0.41,0.994232,0.00683637,0.991909
0.42,0.982556,0.0206523,0.975763
0.43,0.951276,0.0587024,0.932512
0.44,0.894044,0.131157,0.854784
0.45,0.820414,0.229556,0.758005
0.46,0.741975,0.342279,0.658715
0.47,0.666639,0.459833,0.567298
0.48,0.599261,0.575563,0.4891
0.49,0.540883,0.683919,0.424263
0.5,0.491151,0.781494,0.370404
0.51,0.454362,0.864264,0.329821
0.52,0.430361,0.922239,0.304158
0.53,0.412395,0.951799,0.293485
0.54,0.389722,0.948198,0.294322
0.55,0.362512,0.930133,0.299341
0.56,0.339496,0.920033,0.303497
0.57,0.315819,0.920131,0.305842
0.58,0.287956,0.927076,0.307305
0.59,0.260918,0.925255,0.306405
0.6,0.233441,0.867964,0.288885
0.61,0.18918,0.591425,0.209602
0.62,0.141046,0.160781,0.123233
0.63,0.127178,0.0209147,0.102808
0.64,0.125215,0.00198604,0.10031
0.65,0.124981,-6.36551e-05,0.0999911
0.66,0.124995,-5.77448e-05,0.0999908
0.67,0.125006,4.4604e-05,0.100006
0.68,0.125001,1.03398e-05,0.100001
0.69,0.124999,-7.29671e-06,0.099999
0.7,0.125,-7.79454e-07,0.0999999
0.71,0.125,1.2886e-06,0.1
0.72,0.125,3.6491e-08,0.1
0.73,0.125,-2.00243e-07,0.1
0.74,0.125,7.05296e-09,0.1
0.75,0.125,2.91288e-08,0.1
0.76,0.125,-2.60747e-09,0.1
0.77,0.125,-3.92423e-09,0.1
0.78,0.125,5.68384e-10,0.1
0.79,0.125,4.90021e-10,0.1
0.8,0.125,-1.01153e-10,0.1
0.81,0.125,-5.61838e-11,0.1
0.82,0.125,1.58661e-11,0.1
0.83,0.125,5.81545e-12,0.1
0.84,0.125,-2.24979e-12,0.1
0.85,0.125,-5.23815e-13,0.1
0.86,0.125,2.91191e-13,0.1
0.87,0.125,3.72586e-14,0.1
0.88,0.125,-3.47929e-14,0.1
0.89,0.125,-1.54953e-15,0.1
0.9,0.125,3.75078e-15,0.1
0.91,0.125,4.91527e-17,0.1
0.92,0.125,-1.90577e-16,0.1
0.93,0.125,9.05075e-17,0.1
0.94,0.125,1.0052e-17,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,-1.8202e-16,0.1
0.99,0.125,-1.58131e-16,0.1
1,0.125,0,0.1
