x,rho,u,p
0,1,0,1
0.01,1,-5.96581e-14,1
0.02,1,2.09699e-13,1
0.03,1,7.33235e-13,1
0.04,1,-7.75304e-13,1
0.05,1,-4.23418e-12,1
0.06,1,2.03533e-12,1
0.07,1,2.26108e-11,1
0.08,1,1.82131e-12,1
0.09,1,-1.10167e-10,1
0.1,1,-7.46126e-11,1
0.11,1,4.74354e-10,1
0.12,1,6.6256e-10,1
0.13,1,-1.69121e-09,1
0.14,1,-4.20143e-09,1
0.15,1,4.1018e-09,1
0.16,1,2.12631e-08,1
0.17,1,1.16928e-09,1
0.18,1,-8.54342e-08,1
0.19,1,-8.52431e-08,1
0.2,1,2.46741e-07,1
0.21,1,5.79203e-07,0.999999
0.22,1,-2.70579e-07,1
0.23,1,-2.36296e-06,1
0.24,1,-1.84807e-06,1
0.25,0.999995,5.80023e-06,0.999993
0.26,0.999988,1.43169e-05,0.999983
0.27,0.999997,3.41403e-06,0.999996
0.28,1.00003,-3.3369e-05,1.00004
0.29,1.00004,-4.62631e-05,1.00006
0.3,0.999928,9.56707e-05,0.999877
0.31,0.999429,0.000695053,0.999154
0.32,0.997981,0.00240968,0.997129
0.33,0.994339,0.00671699,0.992063
0.34,0.985609,0.0170993,0.979923
0.35,0.966444,0.0402374,0.953336
0.36,0.935557,0.0783025,0.91094
0.37,0.897075,0.127108,0.858936
0.38,0.855341,0.182001,0.803514
0.39,0.813044,0.239897,0.748416
0.4,0.771488,0.299185,0.695382
0.41,0.731237,0.359099,0.645095
0.42,0.692568,0.419186,0.597825
0.43,0.655679,0.479045,0.553715
0.44,0.620749,0.538277,0.512845
0.45,0.587823,0.596669,0.475108
0.46,0.556496,0.654673,0.440002
0.47,0.526114,0.713239,0.406891
0.48,0.49726,0.771284,0.376074
0.49,0.472642,0.82428,0.349731
0.5,0.453128,0.86954,0.328993
0.51,0.436426,0.906026,0.312411
0.52,0.423484,0.928649,0.302361
0.53,0.418484,0.938554,0.299216
0.54,0.419482,0.939378,0.298732
0.55,0.423575,0.935124,0.300281
0.56,0.428356,0.928354,0.302979
0.57,0.43146,0.922214,0.305801
0.58,0.430764,0.919441,0.30711
0.59,0.423614,0.921572,0.305771
0.6,0.407777,0.925995,0.304141
0.61,0.382764,0.92773,0.303695
0.62,0.350956,0.927776,0.30323
0.63,0.31752,0.927951,0.302359
0.64,0.28761,0.928002,0.301583
0.65,0.265725,0.926572,0.300949
0.66,0.254773,0.925563,0.30088
0.67,0.251444,0.926438,0.301536
0.68,0.251277,0.926624,0.302208
0.69,0.252687,0.92544,0.302418
0.7,0.254663,0.922079,0.301259
0.71,0.25618,0.911353,0.296211
0.72,0.252696,0.857221,0.278425
0.73,0.215343,0.619444,0.212251
0.74,0.149396,0.203428,0.128755
0.75,0.128226,0.0284834,0.103789
0.76,0.125349,0.00310542,0.100454
0.77,0.124992,3.43811e-05,0.100007
0.78,0.12499,-9.56399e-05,0.0999855
0.79,0.125006,3.99198e-05,0.100005
0.8,0.125002,1.90049e-05,0.100003
0.81,0.124999,-6.5544e-06,0.0999991
0.82,0.125,-2.03131e-06,0.0999997
0.83,0.125,1.27061e-06,0.1
0.84,0.125,1.98694e-07,0.1
0.85,0.125,-2.09397e-07,0.1
0.86,0.125,-8.0002e-09,0.1
0.87,0.125,3.21554e-08,0.1
0.88,0.125,-2.38922e-09,0.1
0.89,0.125,-4.5045e-09,0.1
0.9,0.125,9.29642e-10,0.1
0.91,0.125,5.67463e-10,0.1
0.92,0.125,-2.2372e-10,0.1
0.93,0.125,-6.0745e-11,0.1
0.94,0.125,4.51141e-11,0.1
0.95,0.125,4.51774e-12,0.1
0.96,0.125,-8.20664e-12,0.1
0.97,0.125,9.28509e-14,0.1
0.98,0.125,1.36553e-12,0.1
0.99,0.125,6.49965e-15,0.1
1,0.125,0,0.1
