x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,0,1
0.19,1,0,1
0.2,1,0,1
0.21,1,0,1
0.22,1,0,1
0.23,1,0,1
0.24,1,0,1
0.25,1,0,1
0.26,1,0,1
0.27,1,0,1
0.28,1,0,1
0.29,1,0,1
0.3,1,0,1
0.31,1,0,1
0.32,1,0,1
0.33,1,0,1
0.34,1,1.38143e-17,1
0.35,1,-2.48658e-16,1
0.36,1,3.01981e-14,1
0.37,1,-6.92802e-13,1
0.38,1,8.5002e-12,1
0.39,1,-3.60243e-11,1
0.4,1,-1.99441e-10,1
0.41,1,3.96402e-09,1
0.42,1,-1.35081e-08,1
0.43,1,-4.69803e-08,1
0.44,0.999999,8.0109e-07,0.999999
0.45,1,-5.27993e-07,1
0.46,1.00001,-5.76166e-06,1.00001
0.47,0.999887,0.000115084,0.999826
0.48,0.997274,0.002886,0.996627
0.49,0.964516,0.0388347,0.957536
0.5,0.766896,0.225488,0.745973
0.51,0.354097,0.511102,0.325805
0.52,0.16429,0.289239,0.141504
0.53,0.127928,0.0246042,0.10323
0.54,0.125112,0.000873905,0.100143
0.55,0.12499,-4.37685e-05,0.0999943
0.56,0.125,-2.62308e-06,0.0999991
0.57,0.125001,5.41327e-06,0.100001
0.58,0.125,-3.70602e-07,0.1
0.59,0.125,-7.24934e-08,0.1
0.6,0.125,2.39781e-08,0.1
0.61,0.125,-1.40921e-09,0.1
0.62,0.125,-1.63225e-10,0.1
0.63,0.125,4.34196e-11,0.1
0.64,0.125,-3.51991e-12,0.1
0.65,0.125,1.50749e-13,0.1
0.66,0.125,-9.67003e-16,0.1
0.67,0.125,3.45358e-17,0.1
0.68,0.125,0,0.1
0.69,0.125,0,0.1
0.7,0.125,0,0.1
0.71,0.125,0,0.1
0.72,0.125,0,0.1
0.73,0.125,0,0.1
0.74,0.125,0,0.1
0.75,0.125,0,0.1
0.76,0.125,0,0.1
0.77,0.125,0,0.1
0.78,0.125,0,0.1
0.79,0.125,0,0.1
0.8,0.125,0,0.1
0.81,0.125,0,0.1
0.82,0.125,0,0.1
0.83,0.125,0,0.1
0.84,0.125,0,0.1
0.85,0.125,0,0.1
0.86,0.125,0,0.1
0.87,0.125,0,0.1
0.88,0.125,0,0.1
0.89,0.125,0,0.1
0.9,0.125,0,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,-5.49092e-17,0.1
0.99,0.125,-5.49092e-17,0.1
1,0.125,0,0.1
