x,rho,u,p
0,1,0,1
0.01,1,-1.2936e-16,1
0.02,1,5.92053e-15,1
0.03,1,6.55301e-15,1
0.04,1,-3.61877e-14,1
0.05,1,-4.57425e-14,1
0.06,1,2.12597e-13,1
0.07,1,3.16915e-13,1
0.08,1,-1.1861e-12,1
0.09,1,-2.16629e-12,1
0.1,1,6.10033e-12,1
0.11,1,1.42036e-11,1
0.12,1,-2.81004e-11,1
0.13,1,-8.80246e-11,1
0.14,1,1.08175e-10,1
0.15,1,5.07094e-10,1
0.16,1,-2.76439e-10,1
0.17,1,-2.66015e-09,1
0.18,1,-3.00881e-10,1
0.19,1,1.2329e-08,1
0.2,1,1.00533e-08,1
0.21,1,-4.76734e-08,1
0.22,1,-8.18383e-08,1
0.23,1,1.33333e-07,1
0.24,1,4.59346e-07,0.999999
0.25,1,-9.09924e-08,1
0.26,1,-1.86665e-06,1
0.27,1,-1.62363e-06,1
0.28,0.999996,5.13319e-06,0.999994
0.29,0.99999,1.26008e-05,0.999985
0.3,0.999999,7.64913e-07,0.999999
0.31,1.00003,-3.4045e-05,1.00004
0.32,1.00003,-3.29917e-05,1.00004
0.33,0.999877,0.000159861,0.999793
0.34,0.999238,0.000925954,0.998876
0.35,0.997373,0.00313133,0.996276
0.36,0.992564,0.00881638,0.989594
0.37,0.980607,0.0230763,0.972984
0.38,0.954811,0.0544582,0.937301
0.39,0.915329,0.103759,0.883489
0.4,0.868036,0.165053,0.82028
0.41,0.818043,0.232872,0.754907
0.42,0.768295,0.303777,0.691396
0.43,0.720205,0.375912,0.631542
0.44,0.67447,0.448195,0.576074
0.45,0.631485,0.519797,0.52529
0.46,0.5914,0.59014,0.479213
0.47,0.554003,0.659202,0.437411
0.48,0.519005,0.727368,0.399051
0.49,0.487467,0.794087,0.364808
0.5,0.460196,0.852526,0.337177
0.51,0.435021,0.899403,0.315155
0.52,0.422806,0.9292,0.303682
0.53,0.421222,0.940912,0.298333
0.54,0.423381,0.941537,0.296847
0.55,0.42586,0.935775,0.299355
0.56,0.426572,0.928133,0.303856
0.57,0.422875,0.920907,0.307169
0.58,0.406932,0.918621,0.306493
0.59,0.377111,0.921717,0.303533
0.6,0.344495,0.923144,0.302813
0.61,0.313486,0.923823,0.303266
0.62,0.285478,0.923307,0.302534
0.63,0.26427,0.923657,0.301311
0.64,0.254133,0.928512,0.301435
0.65,0.250469,0.928989,0.301897
0.66,0.248861,0.925812,0.30128
0.67,0.247902,0.912805,0.296343
0.68,0.243526,0.848971,0.275413
0.69,0.205916,0.576244,0.201268
0.7,0.144545,0.162722,0.122482
0.71,0.127466,0.0216896,0.102878
0.72,0.125243,0.00214304,0.10033
0.73,0.124982,-4.96335e-05,0.0999933
0.74,0.124994,-6.71847e-05,0.0999895
0.75,0.125006,4.21177e-05,0.100006
0.76,0.125001,1.20524e-05,0.100002
0.77,0.124999,-6.51019e-06,0.0999991
0.78,0.125,-8.77319e-07,0.0999999
0.79,0.125,1.1236e-06,0.1
0.8,0.125,6.50821e-09,0.1
0.81,0.125,-1.69548e-07,0.1
0.82,0.125,2.14627e-08,0.1
0.83,0.125,2.40194e-08,0.1
0.84,0.125,-6.58576e-09,0.1
0.85,0.125,-3.1229e-09,0.1
0.86,0.125,1.46413e-09,0.1
0.87,0.125,3.65959e-10,0.1
0.88,0.125,-2.80221e-10,0.1
0.89,0.125,-3.61969e-11,0.1
0.9,0.125,4.87751e-11,0.1
0.91,0.125,2.35641e-12,0.1
0.92,0.125,-7.90085e-12,0.1
0.93,0.125,1.12547e-13,0.1
0.94,0.125,1.20458e-12,0.1
0.95,0.125,-8.23805e-14,0.1
0.96,0.125,-1.73502e-13,0.1
0.97,0.125,2.13738e-14,0.1
0.98,0.125,2.40318e-14,0.1
0.99,0.125,-1.55202e-15,0.1
1,0.125,0,0.1
