x,rho,u,p
0,1,0,1
0.01,1,6.69055e-15,1
0.02,1,-5.62693e-16,1
0.03,1,-6.36603e-14,1
0.04,1,-1.96668e-14,1
0.05,1,3.68784e-13,1
0.06,1,2.13393e-13,1
0.07,1,-2.03183e-12,1
0.08,1,-1.88809e-12,1
0.09,1,1.04269e-11,1
0.1,1,1.44313e-11,1
0.11,1,-4.86141e-11,1
0.12,1,-9.8042e-11,1
0.13,1,1.9589e-10,1
0.14,1,5.95706e-10,1
0.15,1,-5.99537e-10,1
0.16,1,-3.21369e-09,1
0.17,1,6.26654e-10,1
0.18,1,1.5059e-08,1
0.19,1,8.64863e-09,1
0.2,1,-5.82351e-08,1
0.21,1,-8.59555e-08,1
0.22,1,1.62416e-07,1
0.23,1,4.99454e-07,0.999999
0.24,1,-1.25654e-07,1
0.25,1,-2.00562e-06,1
0.26,1,-1.74344e-06,1
0.27,0.999996,5.22248e-06,0.999994
0.28,0.999989,1.31493e-05,0.999984
0.29,0.999998,2.00924e-06,0.999998
0.3,1.00003,-3.34182e-05,1.00004
0.31,1.00003,-3.85909e-05,1.00005
0.32,0.9999,0.000131263,0.99983
0.33,0.999323,0.00082379,0.998998
0.34,0.997639,0.00281508,0.996649
0.35,0.993335,0.00790465,0.990665
0.36,0.982771,0.0204871,0.975985
0.37,0.959708,0.0484536,0.944042
0.38,0.923584,0.0933184,0.894661
0.39,0.879599,0.149825,0.835611
0.4,0.832625,0.212769,0.773805
0.41,0.785537,0.278823,0.71321
0.42,0.739712,0.346228,0.655617
0.43,0.695787,0.414044,0.601742
0.44,0.654141,0.481597,0.551895
0.45,0.615013,0.548289,0.506185
0.46,0.578375,0.613845,0.464466
0.47,0.543789,0.678723,0.426177
0.48,0.510946,0.743452,0.390507
0.49,0.481812,0.806492,0.358761
0.5,0.457995,0.858696,0.334361
0.51,0.435086,0.901434,0.314035
0.52,0.4221,0.928994,0.303185
0.53,0.419883,0.939706,0.298949
0.54,0.422341,0.940947,0.297665
0.55,0.425956,0.935841,0.299492
0.56,0.428409,0.928113,0.303079
0.57,0.427676,0.921381,0.306457
0.58,0.419801,0.919489,0.30737
0.59,0.398801,0.923219,0.305088
0.6,0.368141,0.924106,0.303256
0.61,0.335184,0.923435,0.302827
0.62,0.304132,0.9245,0.302707
0.63,0.277556,0.924995,0.301707
0.64,0.259667,0.925919,0.300759
0.65,0.252551,0.928794,0.301265
0.66,0.25048,0.928455,0.301911
0.67,0.250139,0.926021,0.30171
0.68,0.250575,0.917402,0.298684
0.69,0.249852,0.879282,0.285721
0.7,0.228113,0.701379,0.233345
0.71,0.161266,0.293163,0.143375
0.72,0.130048,0.044692,0.10596
0.73,0.125598,0.00533396,0.100735
0.74,0.125019,0.000243357,0.100044
0.75,0.124983,-0.000129665,0.099981
0.76,0.125005,2.67782e-05,0.100003
0.77,0.125003,2.78451e-05,0.100004
0.78,0.124999,-4.58688e-06,0.0999994
0.79,0.125,-3.36938e-06,0.0999996
0.8,0.125,1.13064e-06,0.1
0.81,0.125,3.9822e-07,0.1
0.82,0.125,-2.11062e-07,0.1
0.83,0.125,-3.36842e-08,0.1
0.84,0.125,3.64368e-08,0.1
0.85,0.125,4.48021e-10,0.1
0.86,0.125,-5.81258e-09,0.1
0.87,0.125,6.9934e-10,0.1
0.88,0.125,8.70617e-10,0.1
0.89,0.125,-2.20982e-10,0.1
0.9,0.125,-1.22404e-10,0.1
0.91,0.125,4.93217e-11,0.1
0.92,0.125,1.60515e-11,0.1
0.93,0.125,-9.44209e-12,0.1
0.94,0.125,-1.92715e-12,0.1
0.95,0.125,1.64271e-12,0.1
0.96,0.125,2.02775e-13,0.1
0.97,0.125,-2.64787e-13,0.1
0.98,0.125,-2.032e-14,0.1
0.99,0.125,2.72119e-14,0.1
1,0.125,0,0.1
