x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,0,1
0.19,1,0,1
0.2,1,0,1
0.21,1,-6.32414e-17,1
0.22,1,7.18801e-16,1
0.23,1,-5.35595e-17,1
0.24,1,-1.16639e-14,1
0.25,1,2.35005e-14,1
0.26,1,1.29033e-13,1
0.27,1,-5.75522e-13,1
0.28,1,-8.09827e-13,1
0.29,1,9.06527e-12,1
0.3,1,-3.18208e-12,1
0.31,1,-1.08287e-10,1
0.32,1,1.78342e-10,1
0.33,1,1.03082e-09,1
0.34,1,-3.03541e-09,1
0.35,1,-7.81156e-09,1
0.36,1,3.70815e-08,1
0.37,1,4.97195e-08,1
0.38,1,-3.51023e-07,1
0.39,1,-2.09116e-07,1
0.4,0.999998,3.10409e-06,0.999996
0.41,0.999996,2.41319e-06,0.999997
0.42,1.00001,-1.5219e-05,1.00002
0.43,1.00001,8.38342e-06,0.999986
0.44,0.99971,0.00036028,0.999514
0.45,0.997964,0.00238424,0.997142
0.46,0.990166,0.0114019,0.986537
0.47,0.958725,0.0490441,0.943285
0.48,0.870755,0.161813,0.824709
0.49,0.730538,0.354355,0.650713
0.5,0.578371,0.591892,0.4754
0.51,0.450156,0.804902,0.361982
0.52,0.365799,0.974866,0.315525
0.53,0.303871,0.971709,0.293061
0.54,0.223224,0.703916,0.235663
0.55,0.151232,0.246971,0.137639
0.56,0.128994,0.0373454,0.105033
0.57,0.12548,0.00438536,0.100617
0.58,0.125009,0.000174646,0.10003
0.59,0.124985,-0.000120444,0.0999823
0.6,0.125004,1.96367e-05,0.100002
0.61,0.125002,2.06314e-05,0.100003
0.62,0.125,-2.44551e-06,0.0999997
0.63,0.125,-1.88441e-06,0.0999998
0.64,0.125,4.58424e-07,0.1
0.65,0.125,1.51905e-07,0.1
0.66,0.125,-5.68047e-08,0.1
0.67,0.125,-7.67836e-09,0.1
0.68,0.125,5.73309e-09,0.1
0.69,0.125,6.62987e-12,0.1
0.7,0.125,-4.51526e-10,0.1
0.71,0.125,5.24829e-11,0.1
0.72,0.125,2.65425e-11,0.1
0.73,0.125,-6.91526e-12,0.1
0.74,0.125,-9.21734e-13,0.1
0.75,0.125,5.65933e-13,0.1
0.76,0.125,-1.52394e-14,0.1
0.77,0.125,-3.23077e-14,0.1
0.78,0.125,5.0701e-15,0.1
0.79,0.125,1.18573e-15,0.1
0.8,0.125,-3.56983e-16,0.1
0.81,0.125,3.73824e-17,0.1
0.82,0.125,2.61501e-17,0.1
0.83,0.125,0,0.1
0.84,0.125,0,0.1
0.85,0.125,0,0.1
0.86,0.125,0,0.1
0.87,0.125,0,0.1
0.88,0.125,0,0.1
0.89,0.125,0,0.1
0.9,0.125,0,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,-1.66418e-16,0.1
0.99,0.125,-1.37331e-16,0.1
1,0.125,0,0.1
