x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,1.50187e-17,1
0.05,1,-5.04573e-18,1
0.06,1,-1.75025e-16,1
0.07,1,1.10055e-15,1
0.08,1,2.07701e-15,1
0.09,1,-9.5277e-15,1
0.1,1,-1.47763e-14,1
0.11,1,7.14182e-14,1
0.12,1,9.40097e-14,1
0.13,1,-5.17935e-13,1
0.14,1,-6.19883e-13,1
0.15,1,3.5388e-12,1
0.16,1,4.20924e-12,1
0.17,1,-2.27563e-11,1
0.18,1,-2.93246e-11,1
0.19,1,1.36804e-10,1
0.2,1,2.05939e-10,1
0.21,1,-7.5716e-10,1
0.22,1,-1.41688e-09,1
0.23,1,3.74975e-09,1
0.24,1,9.27248e-09,1
0.25,1,-1.56051e-08,1
0.26,1,-5.58577e-08,1
0.27,1,4.59097e-08,1
0.28,1,3.00989e-07,1
0.29,1,1.30758e-09,1
0.3,1,-1.3486e-06,1
0.31,1,-1.10094e-06,1
0.32,0.999996,4.85631e-06,0.999994
0.33,0.999992,1.00901e-05,0.999988
0.34,1,-5.14611e-06,1.00001
0.35,1.00003,-3.49185e-05,1.00004
0.36,1.00001,4.94928e-06,0.999992
0.37,0.999724,0.000348091,0.999555
0.38,0.998668,0.00160426,0.998065
0.39,0.995522,0.00531984,0.993696
0.4,0.986994,0.0154025,0.981881
0.41,0.96466,0.0423258,0.950928
0.42,0.921293,0.0962388,0.891536
0.43,0.862439,0.172466,0.812902
0.44,0.79728,0.261912,0.728277
0.45,0.732013,0.357695,0.646173
0.46,0.670104,0.455181,0.57096
0.47,0.613283,0.551059,0.50437
0.48,0.562218,0.643134,0.446659
0.49,0.516823,0.730507,0.397477
0.5,0.476426,0.812387,0.355968
0.51,0.445026,0.884142,0.323744
0.52,0.429148,0.928507,0.302555
0.53,0.421946,0.94247,0.294501
0.54,0.415513,0.943538,0.295466
0.55,0.404858,0.933402,0.300159
0.56,0.382354,0.92245,0.304783
0.57,0.352546,0.91979,0.305678
0.58,0.322282,0.920531,0.30323
0.59,0.294042,0.921551,0.302523
0.6,0.271518,0.927257,0.304011
0.61,0.256459,0.926083,0.304664
0.62,0.244132,0.906501,0.299202
0.63,0.22566,0.813595,0.266537
0.64,0.176548,0.449977,0.174339
0.65,0.13425,0.0856653,0.111707
0.66,0.126173,0.0108988,0.101455
0.67,0.125089,0.000797568,0.100141
0.68,0.124976,-0.000137819,0.0999801
0.69,0.125002,-5.66838e-06,0.0999981
0.7,0.125005,3.80089e-05,0.100005
0.71,0.125,8.38461e-09,0.1
0.72,0.124999,-5.3513e-06,0.0999993
0.73,0.125,7.92213e-07,0.1
0.74,0.125,8.12375e-07,0.1
0.75,0.125,-2.09979e-07,0.1
0.76,0.125,-1.12159e-07,0.1
0.77,0.125,4.37508e-08,0.1
0.78,0.125,1.46694e-08,0.1
0.79,0.125,-7.85831e-09,0.1
0.8,0.125,-1.75995e-09,0.1
0.81,0.125,1.28567e-09,0.1
0.82,0.125,1.87298e-10,0.1
0.83,0.125,-1.95156e-10,0.1
0.84,0.125,-1.60314e-11,0.1
0.85,0.125,2.77525e-11,0.1
0.86,0.125,6.94767e-13,0.1
0.87,0.125,-3.70913e-12,0.1
0.88,0.125,1.1256e-13,0.1
0.89,0.125,4.65069e-13,0.1
0.9,0.125,-4.12013e-14,0.1
0.91,0.125,-5.47331e-14,0.1
0.92,0.125,8.5406e-15,0.1
0.93,0.125,6.29812e-15,0.1
0.94,0.125,-1.04058e-15,0.1
0.95,0.125,-3.70035e-16,0.1
0.96,0.125,1.95102e-16,0.1
0.97,0.125,3.10424e-21,0.1
0.98,0.125,-1.92028e-16,0.1
0.99,0.125,-1.53124e-16,0.1
1,0.125,0,0.1
