x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,6.48258e-17,1
0.03,1,-5.46898e-17,1
0.04,1,-2.29704e-16,1
0.05,1,2.50342e-15,1
0.06,1,3.36687e-15,1
0.07,1,-1.8075e-14,1
0.08,1,-2.32485e-14,1
0.09,1,1.20865e-13,1
0.1,1,1.53856e-13,1
0.11,1,-7.83599e-13,1
0.12,1,-1.05825e-12,1
0.13,1,4.78854e-12,1
0.14,1,7.32727e-12,1
0.15,1,-2.73322e-11,1
0.16,1,-5.0088e-11,1
0.17,1,1.43015e-10,1
0.18,1,3.30628e-10,1
0.19,1,-6.6168e-10,1
0.2,1,-2.05989e-09,1
0.21,1,2.49334e-09,1
0.22,1,1.18318e-08,1
0.23,1,-5.61119e-09,1
0.24,1,-6.07355e-08,1
0.25,1,-1.47726e-08,1
0.26,1,2.67023e-07,1
0.27,1,2.80535e-07,1
0.28,1,-8.95495e-07,1
0.29,1,-1.96473e-06,1
0.3,0.999998,1.73801e-06,0.999998
0.31,0.999992,9.87436e-06,0.999988
0.32,0.999994,6.33867e-06,0.999993
0.33,1.00002,-2.25961e-05,1.00003
0.34,1.00003,-3.72506e-05,1.00005
0.35,0.999931,9.5761e-05,0.999872
0.36,0.999411,0.000723391,0.999112
0.37,0.99776,0.00267431,0.996808
0.38,0.993249,0.00800279,0.990545
0.39,0.981558,0.0219123,0.974323
0.4,0.954197,0.055191,0.93647
0.41,0.909522,0.111161,0.875646
0.42,0.854563,0.182979,0.802538
0.43,0.79615,0.263563,0.726811
0.44,0.738363,0.348166,0.653998
0.45,0.683287,0.433895,0.58668
0.46,0.631956,0.518867,0.525908
0.47,0.584861,0.601813,0.471866
0.48,0.542292,0.682089,0.424314
0.49,0.503724,0.758967,0.382823
0.5,0.467438,0.830928,0.346578
0.51,0.438912,0.892716,0.319169
0.52,0.42683,0.929108,0.303604
0.53,0.42362,0.94308,0.296265
0.54,0.422365,0.943168,0.295997
0.55,0.419801,0.93487,0.300316
0.56,0.410905,0.921401,0.304594
0.57,0.387022,0.917648,0.305415
0.58,0.355436,0.922232,0.304246
0.59,0.324249,0.924281,0.303273
0.6,0.295148,0.921666,0.302497
0.61,0.271766,0.921773,0.302589
0.62,0.258055,0.925928,0.303537
0.63,0.250198,0.924742,0.302934
0.64,0.243613,0.90981,0.296824
0.65,0.232336,0.830087,0.268652
0.66,0.18755,0.494827,0.182792
0.67,0.137257,0.107141,0.114596
0.68,0.126529,0.0138301,0.101837
0.69,0.125129,0.0011383,0.100193
0.7,0.124976,-0.000123101,0.0999822
0.71,0.125,-2.51066e-05,0.0999953
0.72,0.125005,4.04782e-05,0.100005
0.73,0.125,3.49664e-06,0.1
0.74,0.124999,-5.80601e-06,0.0999992
0.75,0.125,3.59456e-07,0.1
0.76,0.125,9.0075e-07,0.1
0.77,0.125,-1.65157e-07,0.1
0.78,0.125,-1.25595e-07,0.1
0.79,0.125,4.16639e-08,0.1
0.8,0.125,1.6556e-08,0.1
0.81,0.125,-8.37693e-09,0.1
0.82,0.125,-2.00162e-09,0.1
0.83,0.125,1.49536e-09,0.1
0.84,0.125,2.14504e-10,0.1
0.85,0.125,-2.45073e-10,0.1
0.86,0.125,-1.82279e-11,0.1
0.87,0.125,3.75043e-11,0.1
0.88,0.125,6.51144e-13,0.1
0.89,0.125,-5.4013e-12,0.1
0.9,0.125,1.87319e-13,0.1
0.91,0.125,7.3384e-13,0.1
0.92,0.125,-6.3571e-14,0.1
0.93,0.125,-9.3942e-14,0.1
0.94,0.125,1.37113e-14,0.1
0.95,0.125,1.18232e-14,0.1
0.96,0.125,-2.0224e-15,0.1
0.97,0.125,-1.18666e-15,0.1
0.98,0.125,7.75738e-17,0.1
0.99,0.125,-9.33108e-17,0.1
1,0.125,0,0.1
