x,rho,u,p
0,1,0,1
0.01,1,1.99476e-17,1
0.02,1,7.47982e-17,1
0.03,1,-2.54167e-16,1
0.04,1,2.59035e-16,1
0.05,1,4.15408e-15,1
0.06,1,-3.48537e-16,1
0.07,1,-2.90761e-14,1
0.08,1,1.40776e-15,1
0.09,1,1.91844e-13,1
0.1,1,-2.84383e-15,1
0.11,1,-1.23515e-12,1
0.12,1,-1.34114e-13,1
0.13,1,7.61153e-12,1
0.14,1,2.34239e-12,1
0.15,1,-4.45481e-11,1
0.16,1,-2.61628e-11,1
0.17,1,2.44208e-10,1
0.18,1,2.34846e-10,1
0.19,1,-1.22556e-09,1
0.2,1,-1.80184e-09,1
0.21,1,5.40866e-09,1
0.22,1,1.20471e-08,1
0.23,1,-1.91643e-08,1
0.24,1,-6.98298e-08,1
0.25,1,3.91889e-08,1
0.26,1,3.44312e-07,1
0.27,1,1.17617e-07,1
0.28,1,-1.33507e-06,1
0.29,1,-1.71901e-06,1
0.3,0.999997,3.64004e-06,0.999996
0.31,0.999991,1.11102e-05,0.999987
0.32,0.999998,1.74301e-06,0.999998
0.33,1.00002,-3.05398e-05,1.00004
0.34,1.00003,-2.81331e-05,1.00004
0.35,0.999867,0.000172556,0.999775
0.36,0.999185,0.0009916,0.998794
0.37,0.997125,0.00342511,0.995926
0.38,0.99163,0.00991635,0.9883
0.39,0.977487,0.0268077,0.968669
0.4,0.94663,0.0645416,0.926072
0.41,0.899908,0.123467,0.862727
0.42,0.844722,0.196237,0.789633
0.43,0.787158,0.276401,0.715335
0.44,0.730685,0.359814,0.644484
0.45,0.67704,0.443978,0.579174
0.46,0.627076,0.527244,0.520226
0.47,0.581184,0.608493,0.467715
0.48,0.539632,0.68725,0.421371
0.49,0.501918,0.763059,0.380791
0.5,0.46645,0.83354,0.345433
0.51,0.43823,0.893609,0.318626
0.52,0.426291,0.928981,0.303677
0.53,0.423531,0.942759,0.296523
0.54,0.422917,0.943105,0.296063
0.55,0.42108,0.93551,0.300232
0.56,0.413907,0.92216,0.304627
0.57,0.392107,0.916986,0.305614
0.58,0.36074,0.921617,0.304201
0.59,0.329268,0.924545,0.303386
0.6,0.299729,0.922541,0.302569
0.61,0.274894,0.920449,0.302543
0.62,0.259525,0.925702,0.303201
0.63,0.251543,0.926468,0.303084
0.64,0.245676,0.917162,0.299587
0.65,0.238107,0.8693,0.281819
0.66,0.207895,0.632471,0.214481
0.67,0.148476,0.20503,0.129047
0.68,0.128044,0.0275246,0.103665
0.69,0.125317,0.00285239,0.100421
0.7,0.12499,1.43934e-05,0.100003
0.71,0.124991,-8.42558e-05,0.0999871
0.72,0.125006,3.96231e-05,0.100005
0.73,0.125001,1.52661e-05,0.100002
0.74,0.124999,-6.43858e-06,0.0999991
0.75,0.125,-1.26346e-06,0.0999998
0.76,0.125,1.21876e-06,0.1
0.77,0.125,5.39923e-08,0.1
0.78,0.125,-2.01233e-07,0.1
0.79,0.125,1.55996e-08,0.1
0.8,0.125,3.16568e-08,0.1
0.81,0.125,-5.72367e-09,0.1
0.82,0.125,-4.68887e-09,0.1
0.83,0.125,1.30976e-09,0.1
0.84,0.125,6.55641e-10,0.1
0.85,0.125,-2.49708e-10,0.1
0.86,0.125,-8.58752e-11,0.1
0.87,0.125,4.27761e-11,0.1
0.88,0.125,1.03968e-11,0.1
0.89,0.125,-6.78023e-12,0.1
0.9,0.125,-1.13227e-12,0.1
0.91,0.125,1.00772e-12,0.1
0.92,0.125,1.0368e-13,0.1
0.93,0.125,-1.41302e-13,0.1
0.94,0.125,-5.96785e-15,0.1
0.95,0.125,1.92387e-14,0.1
0.96,0.125,1.32043e-16,0.1
0.97,0.125,-2.21896e-15,0.1
0.98,0.125,-1.21915e-16,0.1
0.99,0.125,1.14159e-17,0.1
1,0.125,0,0.1
