x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,0,1
0.19,1,0,1
0.2,1,0,1
0.21,1,0,1
0.22,1,0,1
0.23,1,0,1
0.24,1,0,1
0.25,1,6.25431e-17,1
0.26,1,-6.49025e-17,1
0.27,1,-1.25367e-15,1
0.28,1,6.60066e-15,1
0.29,1,7.16217e-15,1
0.3,1,-1.76954e-13,1
0.31,1,4.21931e-13,1
0.32,1,2.42961e-12,1
0.33,1,-1.54197e-11,1
0.34,1,-4.08016e-12,1
0.35,1,2.87066e-10,1
0.36,1,-5.89717e-10,1
0.37,1,-3.24652e-09,1
0.38,1,1.5419e-08,1
0.39,1,2.01247e-08,1
0.4,1,-2.20725e-07,1
0.41,1,1.17947e-07,1
0.42,0.999998,2.68781e-06,0.999997
0.43,0.999998,-1.31689e-06,1
0.44,1.00002,-1.44443e-05,1.00002
0.45,0.999935,8.17497e-05,0.999868
0.46,0.999071,0.00108218,0.998703
0.47,0.99325,0.00760683,0.990998
0.48,0.961836,0.0444642,0.949062
0.49,0.850042,0.18474,0.806783
0.5,0.649399,0.45576,0.585423
0.51,0.443505,0.770717,0.388897
0.52,0.284372,0.857566,0.261278
0.53,0.182599,0.485082,0.169511
0.54,0.134754,0.0874423,0.111516
0.55,0.126161,0.0102847,0.101353
0.56,0.125076,0.000646079,0.100116
0.57,0.12498,-0.00011155,0.099984
0.58,0.125001,-5.08069e-06,0.0999984
0.59,0.125002,1.85594e-05,0.100003
0.6,0.125,-9.79958e-08,0.1
0.61,0.125,-1.2752e-06,0.0999998
0.62,0.125,1.949e-07,0.1
0.63,0.125,6.85265e-08,0.1
0.64,0.125,-2.0844e-08,0.1
0.65,0.125,-1.24811e-09,0.1
0.66,0.125,1.37787e-09,0.1
0.67,0.125,-1.21657e-10,0.1
0.68,0.125,-5.26055e-11,0.1
0.69,0.125,1.33758e-11,0.1
0.7,0.125,4.89063e-13,0.1
0.71,0.125,-6.4785e-13,0.1
0.72,0.125,7.40464e-14,0.1
0.73,0.125,1.45551e-14,0.1
0.74,0.125,-4.81867e-15,0.1
0.75,0.125,2.07513e-16,0.1
0.76,0.125,1.35705e-16,0.1
0.77,0.125,-2.84102e-17,0.1
0.78,0.125,1.70881e-17,0.1
0.79,0.125,0,0.1
0.8,0.125,0,0.1
0.81,0.125,0,0.1
0.82,0.125,0,0.1
0.83,0.125,0,0.1
0.84,0.125,0,0.1
0.85,0.125,0,0.1
0.86,0.125,0,0.1
0.87,0.125,0,0.1
0.88,0.125,0,0.1
0.89,0.125,0,0.1
0.9,0.125,0,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,-1.236e-16,0.1
0.99,0.125,-7.83379e-17,0.1
1,0.125,0,0.1
