x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,5.00927e-18,1
0.07,1,-4.50714e-17,1
0.08,1,4.47506e-17,1
0.09,1,1.21825e-15,1
0.1,1,-7.42453e-16,1
0.11,1,-1.0855e-14,1
0.12,1,7.13499e-15,1
0.13,1,8.13207e-14,1
0.14,1,-7.6087e-14,1
0.15,1,-5.94012e-13,1
0.16,1,6.69297e-13,1
0.17,1,4.1948e-12,1
0.18,1,-5.07524e-12,1
0.19,1,-2.86619e-11,1
0.2,1,3.3788e-11,1
0.21,1,1.89734e-10,1
0.22,1,-1.94437e-10,1
0.23,1,-1.21088e-09,1
0.24,1,9.11367e-10,1
0.25,1,7.36828e-09,1
0.26,1,-2.74023e-09,1
0.27,1,-4.18192e-08,1
0.28,1,-4.18499e-09,1
0.29,1,2.15483e-07,1
0.3,1,1.50685e-07,1
0.31,1,-9.32594e-07,1
0.32,1,-1.35201e-06,1
0.33,0.999997,3.23278e-06,0.999996
0.34,0.999993,9.34539e-06,0.999989
0.35,1,-1.74626e-06,1
0.36,1.00002,-3.08197e-05,1.00004
0.37,1.00001,-2.89798e-06,1
0.38,0.999761,0.000304115,0.999605
0.39,0.998758,0.00149934,0.998187
0.4,0.995641,0.00517766,0.993861
0.41,0.986903,0.0154952,0.981768
0.42,0.963231,0.0440364,0.948978
0.43,0.915831,0.103173,0.884131
0.44,0.850774,0.188094,0.797539
0.45,0.778832,0.288327,0.704815
0.46,0.707415,0.395464,0.616077
0.47,0.640781,0.503145,0.536507
0.48,0.581276,0.607418,0.468358
0.49,0.52947,0.706108,0.411604
0.5,0.484637,0.796614,0.364169
0.51,0.450196,0.873453,0.327122
0.52,0.42989,0.923721,0.302682
0.53,0.417813,0.945095,0.293696
0.54,0.404835,0.948245,0.295391
0.55,0.383298,0.93409,0.300415
0.56,0.356069,0.920425,0.30391
0.57,0.329293,0.916446,0.304408
0.58,0.302041,0.922041,0.304234
0.59,0.276624,0.929307,0.305302
0.6,0.256247,0.924461,0.305052
0.61,0.236208,0.877907,0.291008
0.62,0.199178,0.649943,0.222908
0.63,0.146699,0.212708,0.131313
0.64,0.127969,0.0284808,0.103834
0.65,0.125317,0.00295033,0.100435
0.66,0.12499,2.10375e-05,0.100005
0.67,0.124991,-8.42306e-05,0.0999871
0.68,0.125006,4.13978e-05,0.100005
0.69,0.125002,1.57627e-05,0.100002
0.7,0.124999,-7.10667e-06,0.0999991
0.71,0.125,-1.51038e-06,0.0999998
0.72,0.125,1.37596e-06,0.1
0.73,0.125,1.33638e-07,0.1
0.74,0.125,-2.29177e-07,0.1
0.75,0.125,-4.31446e-09,0.1
0.76,0.125,3.56887e-08,0.1
0.77,0.125,-1.47008e-09,0.1
0.78,0.125,-5.15899e-09,0.1
0.79,0.125,4.93885e-10,0.1
0.8,0.125,6.96268e-10,0.1
0.81,0.125,-1.04873e-10,0.1
0.82,0.125,-8.74345e-11,0.1
0.83,0.125,1.85274e-11,0.1
0.84,0.125,1.01433e-11,0.1
0.85,0.125,-2.90866e-12,0.1
0.86,0.125,-1.07023e-12,0.1
0.87,0.125,4.15711e-13,0.1
0.88,0.125,9.91468e-14,0.1
0.89,0.125,-5.49749e-14,0.1
0.9,0.125,-7.67598e-15,0.1
0.91,0.125,6.70975e-15,0.1
0.92,0.125,6.44695e-16,0.1
0.93,0.125,-4.3576e-16,0.1
0.94,0.125,1.10531e-16,0.1
0.95,0.125,3.50551e-17,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,-1.8202e-16,0.1
0.99,0.125,-1.58131e-16,0.1
1,0.125,0,0.1
