x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,0,1
0.19,1,5.19268e-18,1
0.2,1,-5.71481e-17,1
0.21,1,2.32833e-16,1
0.22,1,1.68015e-15,1
0.23,1,-6.7238e-15,1
0.24,1,-1.2967e-14,1
0.25,1,1.18005e-13,1
0.26,1,-2.08737e-14,1
0.27,1,-1.54471e-12,1
0.28,1,2.59004e-12,1
0.29,1,1.56186e-11,1
0.3,1,-5.13282e-11,1
0.31,1,-1.1839e-10,1
0.32,1,6.98732e-10,1
0.33,1,5.71005e-10,1
0.34,1,-7.57323e-09,1
0.35,1,4.25632e-10,1
0.36,1,7.05515e-08,1
0.37,1,-3.8044e-08,1
0.38,1,-5.54511e-07,1
0.39,1,5.52402e-07,0.999999
0.4,0.999996,4.44959e-06,0.999995
0.41,0.999998,-1.49306e-06,1
0.42,1.00002,-1.97478e-05,1.00003
0.43,0.999973,5.05887e-05,0.999922
0.44,0.99947,0.000652683,0.999177
0.45,0.996882,0.00364505,0.995646
0.46,0.986226,0.0159964,0.98115
0.47,0.945838,0.0650575,0.925441
0.48,0.849152,0.190553,0.79629
0.49,0.710141,0.388748,0.62443
0.5,0.57098,0.61146,0.463328
0.51,0.44849,0.802835,0.356592
0.52,0.369803,0.966563,0.31329
0.53,0.320322,0.994237,0.298622
0.54,0.250374,0.815783,0.269562
0.55,0.169046,0.393147,0.165552
0.56,0.132231,0.0692154,0.109531
0.57,0.126005,0.00926847,0.101244
0.58,0.125073,0.000676631,0.100119
0.59,0.124976,-0.00014665,0.0999788
0.6,0.125001,-1.25456e-05,0.0999973
0.61,0.125004,3.18427e-05,0.100004
0.62,0.125,2.18128e-06,0.1
0.63,0.125,-3.51399e-06,0.0999995
0.64,0.125,1.02289e-07,0.1
0.65,0.125,3.78481e-07,0.1
0.66,0.125,-4.15543e-08,0.1
0.67,0.125,-3.2159e-08,0.1
0.68,0.125,7.07929e-09,0.1
0.69,0.125,2.12508e-09,0.1
0.7,0.125,-8.24549e-10,0.1
0.71,0.125,-8.14914e-11,0.1
0.72,0.125,7.38771e-11,0.1
0.73,0.125,-2.4652e-12,0.1
0.74,0.125,-5.07192e-12,0.1
0.75,0.125,7.91016e-13,0.1
0.76,0.125,2.45458e-13,0.1
0.77,0.125,-8.28192e-14,0.1
0.78,0.125,-5.08902e-15,0.1
0.79,0.125,5.75243e-15,0.1
0.8,0.125,-3.51975e-16,0.1
0.81,0.125,-1.91168e-16,0.1
0.82,0.125,7.81085e-17,0.1
0.83,0.125,5.19286e-18,0.1
0.84,0.125,0,0.1
0.85,0.125,0,0.1
0.86,0.125,0,0.1
0.87,0.125,0,0.1
0.88,0.125,0,0.1
0.89,0.125,0,0.1
0.9,0.125,0,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,-1.71614e-16,0.1
0.99,0.125,-1.5292e-16,0.1
1,0.125,0,0.1
