x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,-2.02251e-17,1
0.11,1,1.11206e-16,1
0.12,1,4.00707e-16,1
0.13,1,-2.46404e-15,1
0.14,1,-3.44549e-15,1
0.15,1,2.51574e-14,1
0.16,1,1.81001e-14,1
0.17,1,-2.25976e-13,1
0.18,1,-4.64732e-14,1
0.19,1,1.88364e-12,1
0.2,1,-2.95488e-13,1
0.21,1,-1.46703e-11,1
0.22,1,5.86976e-12,1
0.23,1,1.07899e-10,1
0.24,1,-5.66574e-11,1
0.25,1,-7.53605e-10,1
0.26,1,3.95697e-10,1
0.27,1,5.00602e-09,1
0.28,1,-1.94485e-09,1
0.29,1,-3.13469e-08,1
0.3,1,3.88295e-09,1
0.31,1,1.83195e-07,1
0.32,1,5.53932e-08,1
0.33,1,-9.41835e-07,1
0.34,1,-7.69006e-07,1
0.35,0.999997,4.34857e-06,0.999995
0.36,0.999994,7.73599e-06,0.999991
0.37,1,-9.38108e-06,1.00001
0.38,1.00003,-3.05285e-05,1.00004
0.39,0.999964,5.97153e-05,0.999915
0.4,0.999504,0.000618102,0.999225
0.41,0.99778,0.00264854,0.996826
0.42,0.992373,0.00901519,0.989345
0.43,0.976552,0.0278134,0.967475
0.44,0.93571,0.0780904,0.911153
0.45,0.867283,0.166233,0.819141
0.46,0.784057,0.28044,0.71162
0.47,0.699158,0.407789,0.6067
0.48,0.621691,0.536245,0.515297
0.49,0.554282,0.655579,0.438985
0.5,0.499291,0.763727,0.377971
0.51,0.459509,0.858632,0.333794
0.52,0.429874,0.926477,0.305359
0.53,0.399815,0.951655,0.292319
0.54,0.368487,0.940661,0.293418
0.55,0.345908,0.931372,0.299386
0.56,0.326941,0.926149,0.305183
0.57,0.30086,0.925927,0.309128
0.58,0.267653,0.922309,0.30866
0.59,0.23051,0.851077,0.286076
0.6,0.179459,0.52471,0.194603
0.61,0.136608,0.117821,0.116739
0.62,0.126587,0.0152752,0.102047
0.63,0.125142,0.00129276,0.100216
0.64,0.124976,-0.000119869,0.0999827
0.65,0.124999,-3.18588e-05,0.0999944
0.66,0.125006,4.47717e-05,0.100006
0.67,0.125,5.6465e-06,0.100001
0.68,0.124999,-6.9447e-06,0.0999991
0.69,0.125,-1.95992e-07,0.1
0.7,0.125,1.13089e-06,0.1
0.71,0.125,-3.43392e-08,0.1
0.72,0.125,-1.63501e-07,0.1
0.73,0.125,1.42769e-08,0.1
0.74,0.125,2.20338e-08,0.1
0.75,0.125,-3.13217e-09,0.1
0.76,0.125,-2.72557e-09,0.1
0.77,0.125,5.58565e-10,0.1
0.78,0.125,3.07508e-10,0.1
0.79,0.125,-8.70289e-11,0.1
0.8,0.125,-3.09661e-11,0.1
0.81,0.125,1.21728e-11,0.1
0.82,0.125,2.66399e-12,0.1
0.83,0.125,-1.54097e-12,0.1
0.84,0.125,-1.72577e-13,0.1
0.85,0.125,1.76742e-13,0.1
0.86,0.125,3.46904e-15,0.1
0.87,0.125,-1.83838e-14,0.1
0.88,0.125,1.01622e-15,0.1
0.89,0.125,1.62768e-15,0.1
0.9,0.125,-1.31805e-16,0.1
0.91,0.125,-2.99205e-17,0.1
0.92,0.125,4.54859e-17,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,-1.8202e-16,0.1
0.99,0.125,-1.58131e-16,0.1
1,0.125,0,0.1
