x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,3.49501e-17,1
0.04,1,1.13761e-19,1
0.05,1,-2.29883e-16,1
0.06,1,1.48289e-15,1
0.07,1,2.79003e-15,1
0.08,1,-1.14821e-14,1
0.09,1,-2.03662e-14,1
0.1,1,8.12885e-14,1
0.11,1,1.34981e-13,1
0.12,1,-5.60381e-13,1
0.13,1,-9.10171e-13,1
0.14,1,3.62893e-12,1
0.15,1,6.17806e-12,1
0.16,1,-2.19667e-11,1
0.17,1,-4.18408e-11,1
0.18,1,1.22648e-10,1
0.19,1,2.78065e-10,1
0.2,1,-6.15067e-10,1
0.21,1,-1.7741e-09,1
0.22,1,2.62045e-09,1
0.23,1,1.06095e-08,1
0.24,1,-8.0512e-09,1
0.25,1,-5.76801e-08,1
0.26,1,3.29915e-09,1
0.27,1,2.75047e-07,1
0.28,1,1.92997e-07,1
0.29,1,-1.04928e-06,1
0.3,1,-1.71504e-06,1
0.31,0.999998,2.82072e-06,0.999997
0.32,0.999992,1.02403e-05,0.999988
0.33,0.999997,2.48373e-06,0.999997
0.34,1.00002,-2.83013e-05,1.00004
0.35,1.00003,-2.64029e-05,1.00003
0.36,0.999867,0.000174216,0.999771
0.37,0.999168,0.00101279,0.998767
0.38,0.997013,0.00355897,0.995767
0.39,0.991133,0.0105003,0.987613
0.4,0.975675,0.0289753,0.966169
0.41,0.941664,0.0706959,0.919276
0.42,0.890387,0.135767,0.849983
0.43,0.830263,0.215928,0.770792
0.44,0.768047,0.30403,0.691146
0.45,0.707609,0.39532,0.616171
0.46,0.650964,0.486758,0.548216
0.47,0.599102,0.576234,0.48806
0.48,0.552371,0.662365,0.435565
0.49,0.510363,0.744156,0.390253
0.5,0.471819,0.821115,0.351262
0.51,0.441866,0.888809,0.321448
0.52,0.428356,0.929581,0.303108
0.53,0.42334,0.942974,0.295363
0.54,0.419422,0.942833,0.295633
0.55,0.413342,0.933554,0.300283
0.56,0.397253,0.920956,0.304485
0.57,0.368574,0.919915,0.305538
0.58,0.337239,0.92244,0.304196
0.59,0.307126,0.922073,0.302434
0.6,0.280996,0.922178,0.302539
0.61,0.263212,0.926123,0.304047
0.62,0.252248,0.923946,0.303875
0.63,0.242793,0.905108,0.29697
0.64,0.226836,0.807068,0.262634
0.65,0.176758,0.435773,0.170958
0.66,0.133967,0.0812734,0.111043
0.67,0.126126,0.0103523,0.101382
0.68,0.125082,0.000740972,0.100131
0.69,0.124977,-0.000139623,0.0999798
0.7,0.125002,-3.07908e-06,0.0999985
0.71,0.125004,3.7046e-05,0.100005
0.72,0.125,-3.70836e-07,0.0999999
0.73,0.124999,-5.06983e-06,0.0999993
0.74,0.125,8.36635e-07,0.1
0.75,0.125,7.42277e-07,0.1
0.76,0.125,-2.17994e-07,0.1
0.77,0.125,-9.78341e-08,0.1
0.78,0.125,4.55213e-08,0.1
0.79,0.125,1.20702e-08,0.1
0.8,0.125,-8.25361e-09,0.1
0.81,0.125,-1.32947e-09,0.1
0.82,0.125,1.36684e-09,0.1
0.83,0.125,1.2059e-10,0.1
0.84,0.125,-2.10362e-10,0.1
0.85,0.125,-6.16112e-12,0.1
0.86,0.125,3.03729e-11,0.1
0.87,0.125,-7.25653e-13,0.1
0.88,0.125,-4.12827e-12,0.1
0.89,0.125,3.1417e-13,0.1
0.9,0.125,5.27596e-13,0.1
0.91,0.125,-6.96898e-14,0.1
0.92,0.125,-6.31677e-14,0.1
0.93,0.125,1.25882e-14,0.1
0.94,0.125,7.43421e-15,0.1
0.95,0.125,-1.50944e-15,0.1
0.96,0.125,-5.88852e-16,0.1
0.97,0.125,2.14798e-16,0.1
0.98,0.125,-1.62068e-16,0.1
0.99,0.125,-1.58133e-16,0.1
1,0.125,0,0.1
