x,rho,u,p
0,1,0,1
0.01,1,3.65179e-12,1
0.02,1,3.63919e-11,1
0.03,1,2.13479e-11,1
0.04,1,-1.49784e-10,1
0.05,1,-2.05121e-10,1
0.06,1,4.79119e-10,1
0.07,1,1.25489e-09,1
0.08,1,-9.09324e-10,1
0.09,1,-5.88551e-09,1
0.1,1,-1.78281e-09,1
0.11,1,2.12194e-08,1
0.12,1,2.77303e-08,1
0.13,1,-5.08501e-08,1
0.14,1,-1.5519e-07,1
0.15,1,1.09976e-08,1
0.16,1,5.54594e-07,0.999999
0.17,0.999999,6.21817e-07,0.999999
0.18,1,-1.07067e-06,1
0.19,1,-3.36341e-06,1
0.2,1,-1.0379e-06,1
0.21,0.999992,9.09416e-06,0.999989
0.22,0.999986,1.69379e-05,0.99998
0.23,0.999999,1.14756e-06,0.999999
0.24,1.00003,-4.03043e-05,1.00005
0.25,1.00005,-5.42289e-05,1.00007
0.26,0.999935,8.54906e-05,0.999891
0.27,0.999462,0.000652085,0.999209
0.28,0.998145,0.00221223,0.997366
0.29,0.994966,0.00597389,0.99294
0.3,0.987634,0.0146895,0.982735
0.31,0.972088,0.0333943,0.96114
0.32,0.947293,0.0637267,0.926984
0.33,0.916271,0.102556,0.884772
0.34,0.882342,0.146264,0.839242
0.35,0.847643,0.192399,0.793382
0.36,0.813228,0.239681,0.748629
0.37,0.779531,0.287552,0.705539
0.38,0.746732,0.335762,0.66431
0.39,0.71493,0.384149,0.625023
0.4,0.684215,0.432543,0.587739
0.41,0.654681,0.480742,0.552515
0.42,0.626399,0.528556,0.519375
0.43,0.59933,0.575957,0.488219
0.44,0.573298,0.623172,0.458791
0.45,0.548122,0.670503,0.430829
0.46,0.523821,0.717915,0.404298
0.47,0.500677,0.764753,0.379462
0.48,0.479222,0.809771,0.356876
0.49,0.460116,0.850934,0.337272
0.5,0.443965,0.886275,0.321062
0.51,0.432439,0.913789,0.309125
0.52,0.426291,0.930821,0.301777
0.53,0.42345,0.937574,0.298584
0.54,0.42172,0.936684,0.298708
0.55,0.421547,0.932302,0.30091
0.56,0.423402,0.92653,0.303456
0.57,0.426546,0.922084,0.305548
0.58,0.429494,0.920179,0.306657
0.59,0.430968,0.921747,0.306252
0.6,0.430358,0.925145,0.304528
0.61,0.427466,0.928354,0.302927
0.62,0.421206,0.929709,0.302393
0.63,0.407946,0.929563,0.302524
0.64,0.384537,0.929931,0.302508
0.65,0.353698,0.930281,0.302482
0.66,0.320462,0.929899,0.302668
0.67,0.290273,0.929192,0.302969
0.68,0.268506,0.92921,0.303332
0.69,0.25704,0.928926,0.303388
0.7,0.252302,0.926984,0.302698
0.71,0.251202,0.924763,0.301827
0.72,0.252633,0.924155,0.301609
0.73,0.255794,0.924792,0.301894
0.74,0.259735,0.925242,0.302246
0.75,0.263258,0.924253,0.302119
0.76,0.265224,0.919789,0.300739
0.77,0.264083,0.903787,0.295192
0.78,0.251719,0.833453,0.272885
0.79,0.198728,0.547584,0.195861
0.8,0.141424,0.145012,0.120245
0.81,0.127237,0.0201186,0.102681
0.82,0.125227,0.00202557,0.100316
0.83,0.12498,-6.40958e-05,0.0999912
0.84,0.124994,-6.65162e-05,0.0999895
0.85,0.125006,4.48296e-05,0.100006
0.86,0.125001,1.2823e-05,0.100002
0.87,0.124999,-7.22342e-06,0.099999
0.88,0.125,-1.11918e-06,0.0999999
0.89,0.125,1.31309e-06,0.1
0.9,0.125,6.40475e-08,0.1
0.91,0.125,-2.1278e-07,0.1
0.92,0.125,9.94124e-09,0.1
0.93,0.125,3.27599e-08,0.1
0.94,0.125,-4.47697e-09,0.1
0.95,0.125,-4.69071e-09,0.1
0.96,0.125,1.10419e-09,0.1
0.97,0.125,6.14378e-10,0.1
0.98,0.125,-2.07155e-10,0.1
0.99,0.125,-6.46427e-11,0.1
1,0.125,0,0.1
