x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,2.07923e-17,1
0.18,1,5.40154e-18,1
0.19,1,-2.81579e-16,1
0.2,1,1.64494e-15,1
0.21,1,2.64661e-15,1
0.22,1,-2.55517e-14,1
0.23,1,2.8784e-15,1
0.24,1,3.0903e-13,1
0.25,1,-4.30398e-13,1
0.26,1,-3.04677e-12,1
0.27,1,8.18305e-12,1
0.28,1,2.44541e-11,1
0.29,1,-1.08026e-10,1
0.3,1,-1.53213e-10,1
0.31,1,1.16116e-09,1
0.32,1,6.5339e-10,1
0.33,1,-1.0701e-08,1
0.34,1,-3.52972e-10,1
0.35,1,8.83887e-08,1
0.36,1,-1.7601e-08,1
0.37,1,-6.38267e-07,1
0.38,1,2.33538e-07,1
0.39,0.999997,4.61879e-06,0.999995
0.4,0.999997,1.2227e-06,0.999999
0.41,1.00002,-1.94217e-05,1.00003
0.42,1,1.39333e-05,0.999978
0.43,0.999683,0.000399066,0.999471
0.44,0.998058,0.00229839,0.997236
0.45,0.991617,0.00981982,0.988395
0.46,0.96849,0.0373172,0.956524
0.47,0.901866,0.120945,0.86545
0.48,0.789014,0.271653,0.719566
0.49,0.662828,0.473206,0.564206
0.5,0.556996,0.655087,0.442664
0.51,0.446802,0.810874,0.343209
0.52,0.378874,0.931052,0.307168
0.53,0.343163,0.986325,0.301344
0.54,0.306019,0.962238,0.302205
0.55,0.237406,0.780127,0.269745
0.56,0.162357,0.357288,0.160494
0.57,0.130979,0.0587703,0.108157
0.58,0.125805,0.00755286,0.101025
0.59,0.125048,0.000476843,0.100085
0.6,0.124977,-0.000154876,0.0999776
0.61,0.125003,1.24492e-06,0.0999993
0.62,0.125004,3.33599e-05,0.100004
0.63,0.125,5.3502e-07,0.1
0.64,0.125,-3.97031e-06,0.0999995
0.65,0.125,2.66151e-07,0.1
0.66,0.125,4.648e-07,0.1
0.67,0.125,-6.18999e-08,0.1
0.68,0.125,-4.49246e-08,0.1
0.69,0.125,1.02897e-08,0.1
0.7,0.125,3.59951e-09,0.1
0.71,0.125,-1.32076e-09,0.1
0.72,0.125,-2.06051e-10,0.1
0.73,0.125,1.39052e-10,0.1
0.74,0.125,3.43757e-12,0.1
0.75,0.125,-1.20008e-11,0.1
0.76,0.125,1.03861e-12,0.1
0.77,0.125,8.24867e-13,0.1
0.78,0.125,-1.74019e-13,0.1
0.79,0.125,-4.0537e-14,0.1
0.8,0.125,1.75022e-14,0.1
0.81,0.125,8.61392e-16,0.1
0.82,0.125,-1.1823e-15,0.1
0.83,0.125,1.14945e-16,0.1
0.84,0.125,5.19965e-17,0.1
0.85,0.125,0,0.1
0.86,0.125,0,0.1
0.87,0.125,0,0.1
0.88,0.125,0,0.1
0.89,0.125,0,0.1
0.9,0.125,0,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,-1.8202e-16,0.1
0.99,0.125,-1.58131e-16,0.1
1,0.125,0,0.1
