x,rho,u,p
0,1,0,1
0.01,1,-1.33628e-10,1
0.02,1,4.1647e-10,1
0.03,1,1.65038e-09,1
0.04,1,9.25579e-11,1
0.05,1,-6.24288e-09,1
0.06,1,-6.61434e-09,1
0.07,1,1.61115e-08,1
0.08,1,4.09864e-08,1
0.09,1,-1.19643e-08,1
0.1,1,-1.55425e-07,1
0.11,1,-1.40701e-07,1
0.12,1,3.46623e-07,1
0.13,0.999999,8.88479e-07,0.999999
0.14,1,4.51983e-08,1
0.15,1,-2.68015e-06,1
0.16,1,-3.78488e-06,1
0.17,0.999998,2.61351e-06,0.999997
0.18,0.999987,1.5055e-05,0.999982
0.19,0.999986,1.67631e-05,0.99998
0.2,1.00001,-1.15904e-05,1.00001
0.21,1.00005,-5.63786e-05,1.00007
0.22,1.00004,-4.59823e-05,1.00006
0.23,0.999866,0.000167546,0.999792
0.24,0.999257,0.000893747,0.998925
0.25,0.997687,0.00275267,0.996733
0.26,0.994066,0.00703941,0.991689
0.27,0.985948,0.016709,0.980386
0.28,0.970158,0.0357399,0.958465
0.29,0.946982,0.0641083,0.926561
0.3,0.919226,0.0988153,0.888768
0.31,0.889439,0.137022,0.848702
0.32,0.859168,0.176926,0.808522
0.33,0.829142,0.217637,0.769223
0.34,0.799652,0.258786,0.731174
0.35,0.770811,0.300219,0.694505
0.36,0.742679,0.341843,0.659264
0.37,0.715306,0.383572,0.625484
0.38,0.688742,0.425307,0.593193
0.39,0.66304,0.466928,0.562424
0.4,0.638243,0.508325,0.533187
0.41,0.614349,0.549449,0.505443
0.42,0.591292,0.590364,0.479075
0.43,0.56896,0.631228,0.453927
0.44,0.547257,0.672184,0.429866
0.45,0.526188,0.713195,0.406874
0.46,0.505912,0.753909,0.385103
0.47,0.486713,0.793677,0.364816
0.48,0.468944,0.831688,0.346254
0.49,0.453248,0.866858,0.329908
0.5,0.440148,0.896415,0.316714
0.51,0.429386,0.918786,0.306777
0.52,0.423939,0.931898,0.301571
0.53,0.423062,0.936401,0.299567
0.54,0.424244,0.935558,0.299581
0.55,0.426112,0.931431,0.30131
0.56,0.427406,0.925748,0.303638
0.57,0.427372,0.921459,0.305503
0.58,0.426554,0.920105,0.306115
0.59,0.425768,0.921381,0.30533
0.6,0.425844,0.924578,0.304078
0.61,0.42666,0.927808,0.302913
0.62,0.427448,0.930068,0.302195
0.63,0.42735,0.930872,0.302076
0.64,0.425061,0.930132,0.302383
0.65,0.417249,0.928832,0.302818
0.66,0.39922,0.928782,0.302829
0.67,0.371585,0.928789,0.302846
0.68,0.338758,0.928575,0.303026
0.69,0.306009,0.928458,0.303135
0.7,0.27875,0.92763,0.302883
0.71,0.261619,0.927091,0.302759
0.72,0.254403,0.928689,0.30322
0.73,0.252313,0.929755,0.303683
0.74,0.252846,0.9296,0.303834
0.75,0.254991,0.928167,0.30354
0.76,0.258121,0.925901,0.302909
0.77,0.261681,0.923984,0.302362
0.78,0.265116,0.923374,0.302198
0.79,0.267734,0.923271,0.302181
0.8,0.268827,0.922269,0.301884
0.81,0.267657,0.917556,0.300214
0.82,0.26202,0.896105,0.293155
0.83,0.240513,0.797796,0.262448
0.84,0.180232,0.451957,0.175062
0.85,0.13516,0.0927672,0.112735
0.86,0.126398,0.0127387,0.101698
0.87,0.125121,0.0010734,0.100183
0.88,0.124975,-0.000136218,0.0999803
0.89,0.125,-2.51976e-05,0.0999953
0.9,0.125006,4.43003e-05,0.100006
0.91,0.125,4.61846e-06,0.100001
0.92,0.124999,-6.75368e-06,0.0999991
0.93,0.125,7.64624e-08,0.1
0.94,0.125,1.11722e-06,0.1
0.95,0.125,-1.11751e-07,0.1
0.96,0.125,-1.67521e-07,0.1
0.97,0.125,3.39798e-08,0.1
0.98,0.125,2.40625e-08,0.1
0.99,0.125,-3.77137e-09,0.1
1,0.125,0,0.1
