x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,0,1
0.19,1,0,1
0.2,1,-1.04066e-17,1
0.21,1,-3.72249e-17,1
0.22,1,9.73763e-16,1
0.23,1,-9.69341e-16,1
0.24,1,-1.3714e-14,1
0.25,1,4.0661e-14,1
0.26,1,1.24943e-13,1
0.27,1,-7.97006e-13,1
0.28,1,-3.82364e-13,1
0.29,1,1.11188e-11,1
0.3,1,-1.12982e-11,1
0.31,1,-1.20327e-10,1
0.32,1,2.81987e-10,1
0.33,1,1.03445e-09,1
0.34,1,-4.06093e-09,1
0.35,1,-6.85171e-09,1
0.36,1,4.54912e-08,1
0.37,1,3.58441e-08,1
0.38,1,-4.07673e-07,1
0.39,1,-6.97177e-08,1
0.4,0.999997,3.4852e-06,0.999996
0.41,0.999996,1.65771e-06,0.999998
0.42,1.00001,-1.67048e-05,1.00002
0.43,1,1.65548e-05,0.999974
0.44,0.99966,0.000422222,0.999442
0.45,0.997724,0.00266214,0.996811
0.46,0.989271,0.0124406,0.985317
0.47,0.955682,0.0528065,0.939065
0.48,0.865402,0.168921,0.81762
0.49,0.725306,0.362906,0.643982
0.5,0.576274,0.597243,0.471911
0.51,0.449795,0.804188,0.360637
0.52,0.366985,0.973217,0.315128
0.53,0.308467,0.979554,0.295019
0.54,0.230068,0.73448,0.244728
0.55,0.155114,0.280962,0.143718
0.56,0.12965,0.0437908,0.105926
0.57,0.125581,0.00533542,0.100738
0.58,0.125021,0.000266932,0.100047
0.59,0.124983,-0.000131785,0.0999807
0.6,0.125004,1.38741e-05,0.100001
0.61,0.125003,2.3699e-05,0.100003
0.62,0.125,-1.68375e-06,0.0999998
0.63,0.125,-2.29544e-06,0.0999997
0.64,0.125,4.18974e-07,0.1
0.65,0.125,2.02617e-07,0.1
0.66,0.125,-5.80666e-08,0.1
0.67,0.125,-1.25151e-08,0.1
0.68,0.125,6.43088e-09,0.1
0.69,0.125,3.59803e-10,0.1
0.7,0.125,-5.55472e-10,0.1
0.71,0.125,3.65418e-11,0.1
0.72,0.125,3.68623e-11,0.1
0.73,0.125,-7.06186e-12,0.1
0.74,0.125,-1.65762e-12,0.1
0.75,0.125,6.76218e-13,0.1
0.76,0.125,1.95915e-14,0.1
0.77,0.125,-4.43689e-14,0.1
0.78,0.125,4.55498e-15,0.1
0.79,0.125,1.98183e-15,0.1
0.8,0.125,-4.35032e-16,0.1
0.81,0.125,1.65692e-17,0.1
0.82,0.125,3.65567e-17,0.1
0.83,0.125,0,0.1
0.84,0.125,0,0.1
0.85,0.125,0,0.1
0.86,0.125,0,0.1
0.87,0.125,0,0.1
0.88,0.125,0,0.1
0.89,0.125,0,0.1
0.9,0.125,0,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,-1.66418e-16,0.1
0.99,0.125,-1.42535e-16,0.1
1,0.125,0,0.1
