x,rho,u,p
0,1,0,1
0.01,1,-5.10738e-14,1
0.02,1,-5.55339e-14,1
0.03,1,4.02907e-13,1
0.04,1,5.0968e-13,1
0.05,1,-2.0056e-12,1
0.06,1,-3.56751e-12,1
0.07,1,8.886e-12,1
0.08,1,2.26681e-11,1
0.09,1,-3.31248e-11,1
0.1,1,-1.30643e-10,1
0.11,1,8.44342e-11,1
0.12,1,6.7523e-10,1
0.13,1,4.97719e-11,1
0.14,1,-3.05416e-09,1
0.15,1,-2.46142e-09,1
0.16,1,1.14755e-08,1
0.17,1,1.98721e-08,1
0.18,1,-3.09761e-08,1
0.19,1,-1.08908e-07,1
0.2,1,2.05957e-08,1
0.21,1,4.43544e-07,0.999999
0.22,1,3.87017e-07,1
0.23,1,-1.19721e-06,1
0.24,1,-2.73386e-06,1
0.25,0.999999,9.25925e-07,0.999999
0.26,0.999991,1.0685e-05,0.999987
0.27,0.99999,1.23694e-05,0.999985
0.28,1.00001,-1.30124e-05,1.00002
0.29,1.00004,-4.79391e-05,1.00006
0.3,1.00001,-5.10028e-06,1.00001
0.31,0.999745,0.000317354,0.999603
0.32,0.998852,0.00138001,0.998342
0.33,0.996466,0.004202,0.99502
0.34,0.990644,0.011096,0.986927
0.35,0.976819,0.0276555,0.967711
0.36,0.950555,0.0597065,0.931449
0.37,0.914065,0.105356,0.88179
0.38,0.872277,0.159464,0.825883
0.39,0.828835,0.217996,0.768861
0.4,0.785705,0.278613,0.713404
0.41,0.743764,0.340169,0.660633
0.42,0.703413,0.40206,0.610983
0.43,0.664899,0.463829,0.564652
0.44,0.628428,0.525032,0.521751
0.45,0.594104,0.585341,0.482234
0.46,0.561627,0.644997,0.445699
0.47,0.530275,0.705014,0.411421
0.48,0.50025,0.765072,0.379213
0.49,0.474657,0.820795,0.351568
0.5,0.454621,0.866792,0.330514
0.51,0.43616,0.904527,0.312883
0.52,0.422827,0.928866,0.302527
0.53,0.418615,0.938591,0.299288
0.54,0.420093,0.939506,0.298528
0.55,0.424326,0.935337,0.300052
0.56,0.428839,0.928405,0.302917
0.57,0.431162,0.922066,0.30592
0.58,0.429089,0.919163,0.307181
0.59,0.419348,0.921978,0.305674
0.6,0.399824,0.926397,0.304214
0.61,0.371388,0.9271,0.303642
0.62,0.338225,0.926527,0.302927
0.63,0.305758,0.926953,0.302065
0.64,0.27837,0.927049,0.301242
0.65,0.26039,0.925973,0.300749
0.66,0.252905,0.92663,0.301084
0.67,0.25103,0.927331,0.301827
0.68,0.251468,0.926448,0.302314
0.69,0.25287,0.923995,0.301872
0.7,0.254524,0.916234,0.298544
0.71,0.254191,0.881511,0.286371
0.72,0.232568,0.7176,0.237961
0.73,0.164584,0.316997,0.147647
0.74,0.13069,0.0503771,0.106733
0.75,0.125698,0.0062338,0.100849
0.76,0.125031,0.000332994,0.10006
0.77,0.12498,-0.000139188,0.0999797
0.78,0.125005,2.09958e-05,0.100002
0.79,0.125004,3.15132e-05,0.100004
0.8,0.124999,-3.66481e-06,0.0999995
0.81,0.125,-4.07317e-06,0.0999995
0.82,0.125,1.05959e-06,0.1
0.83,0.125,5.33891e-07,0.1
0.84,0.125,-2.09886e-07,0.1
0.85,0.125,-5.70652e-08,0.1
0.86,0.125,3.76851e-08,0.1
0.87,0.125,4.15796e-09,0.1
0.88,0.125,-6.16195e-09,0.1
0.89,0.125,1.68836e-10,0.1
0.9,0.125,9.36565e-10,0.1
0.91,0.125,-1.54941e-10,0.1
0.92,0.125,-1.32405e-10,0.1
0.93,0.125,4.28861e-11,0.1
0.94,0.125,1.72779e-11,0.1
0.95,0.125,-9.1767e-12,0.1
0.96,0.125,-2.0299e-12,0.1
0.97,0.125,1.71703e-12,0.1
0.98,0.125,2.3122e-13,0.1
0.99,0.125,-1.91089e-13,0.1
1,0.125,0,0.1
