x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,1.50343e-17,1
0.07,1,-7.51464e-17,1
0.08,1,1.85103e-16,1
0.09,1,1.46887e-15,1
0.1,1,-2.13596e-15,1
0.11,1,-1.23988e-14,1
0.12,1,1.8273e-14,1
0.13,1,8.93704e-14,1
0.14,1,-1.60138e-13,1
0.15,1,-6.31964e-13,1
0.16,1,1.26789e-12,1
0.17,1,4.36578e-12,1
0.18,1,-9.10748e-12,1
0.19,1,-2.95467e-11,1
0.2,1,5.95104e-11,1
0.21,1,1.96205e-10,1
0.22,1,-3.49322e-10,1
0.23,1,-1.27033e-09,1
0.24,1,1.78397e-09,1
0.25,1,7.91188e-09,1
0.26,1,-7.25503e-09,1
0.27,1,-4.62531e-08,1
0.28,1,1.66341e-08,1
0.29,1,2.47117e-07,1
0.3,1,7.1578e-08,1
0.31,1,-1.12115e-06,1
0.32,1,-1.13485e-06,1
0.33,0.999997,4.20499e-06,0.999995
0.34,0.999992,9.42865e-06,0.999989
0.35,1,-4.87355e-06,1.00001
0.36,1.00003,-3.31983e-05,1.00004
0.37,1,1.11008e-05,0.999984
0.38,0.9997,0.00037791,0.999516
0.39,0.998554,0.00173869,0.997904
0.4,0.995064,0.0058588,0.99306
0.41,0.985369,0.0173202,0.979642
0.42,0.959551,0.0485464,0.943893
0.43,0.910297,0.110216,0.876659
0.44,0.844779,0.196169,0.789694
0.45,0.773388,0.296213,0.697926
0.46,0.703012,0.402389,0.610702
0.47,0.637526,0.508729,0.532669
0.48,0.579013,0.611529,0.465766
0.49,0.527981,0.708915,0.409945
0.5,0.483743,0.798496,0.363294
0.51,0.449652,0.874762,0.326786
0.52,0.429818,0.924248,0.302548
0.53,0.41837,0.944489,0.293726
0.54,0.406355,0.94762,0.295454
0.55,0.386059,0.934291,0.300482
0.56,0.358813,0.920962,0.304127
0.57,0.331441,0.916532,0.304334
0.58,0.304012,0.921043,0.303959
0.59,0.278443,0.92877,0.304967
0.6,0.258226,0.926662,0.305254
0.61,0.239779,0.89044,0.295036
0.62,0.207824,0.708464,0.238572
0.63,0.153627,0.277381,0.142331
0.64,0.129104,0.0397433,0.105383
0.65,0.125477,0.00447817,0.100629
0.66,0.125007,0.00015731,0.100028
0.67,0.124986,-0.000112405,0.0999833
0.68,0.125006,3.44884e-05,0.100004
0.69,0.125002,2.29605e-05,0.100003
0.7,0.124999,-6.29267e-06,0.0999992
0.71,0.125,-2.66583e-06,0.0999996
0.72,0.125,1.3883e-06,0.1
0.73,0.125,3.20179e-07,0.1
0.74,0.125,-2.47812e-07,0.1
0.75,0.125,-3.19005e-08,0.1
0.76,0.125,4.07852e-08,0.1
0.77,0.125,2.36429e-09,0.1
0.78,0.125,-6.18803e-09,0.1
0.79,0.125,5.08405e-13,0.1
0.8,0.125,8.76146e-10,0.1
0.81,0.125,-4.69066e-11,0.1
0.82,0.125,-1.15886e-10,0.1
0.83,0.125,1.25094e-11,0.1
0.84,0.125,1.42903e-11,0.1
0.85,0.125,-2.39877e-12,0.1
0.86,0.125,-1.63065e-12,0.1
0.87,0.125,3.90284e-13,0.1
0.88,0.125,1.69338e-13,0.1
0.89,0.125,-5.69595e-14,0.1
0.9,0.125,-1.58114e-14,0.1
0.91,0.125,7.53177e-15,0.1
0.92,0.125,1.50686e-15,0.1
0.93,0.125,-5.66086e-16,0.1
0.94,0.125,5.53921e-17,0.1
0.95,0.125,6.01189e-17,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,-1.8202e-16,0.1
0.99,0.125,-1.58131e-16,0.1
1,0.125,0,0.1
