x,rho,u,p
0,1,0,1
0.01,1,2.52073e-11,1
0.02,1,7.96296e-12,1
0.03,1,-1.82664e-10,1
0.04,1,-2.05888e-10,1
0.05,1,6.05372e-10,1
0.06,1,1.36504e-09,1
0.07,1,-1.24327e-09,1
0.08,1,-6.55261e-09,1
0.09,1,-1.36137e-09,1
0.1,1,2.36763e-08,1
0.11,1,2.91087e-08,1
0.12,1,-5.61481e-08,1
0.13,1,-1.65337e-07,1
0.14,1,1.09425e-08,1
0.15,1,5.7993e-07,0.999999
0.16,0.999999,6.65981e-07,0.999999
0.17,1,-1.05354e-06,1
0.18,1,-3.47157e-06,1
0.19,1,-1.35921e-06,1
0.2,0.999993,8.77858e-06,0.99999
0.21,0.999985,1.74809e-05,0.999979
0.22,0.999997,3.3707e-06,0.999996
0.23,1.00003,-3.8064e-05,1.00005
0.24,1.00005,-5.84749e-05,1.00007
0.25,0.999956,5.97195e-05,0.999924
0.26,0.999533,0.000566951,0.999311
0.27,0.99834,0.00198033,0.99764
0.28,0.995461,0.00538782,0.993629
0.29,0.98886,0.0132278,0.984441
0.3,0.974726,0.0302044,0.964794
0.31,0.951661,0.0583401,0.932974
0.32,0.922327,0.0948944,0.892969
0.33,0.889934,0.13637,0.849369
0.34,0.856624,0.180319,0.805178
0.35,0.82348,0.225437,0.761879
0.36,0.790952,0.27115,0.720059
0.37,0.75922,0.317215,0.679922
0.38,0.728376,0.363489,0.641549
0.39,0.698493,0.409837,0.604989
0.4,0.669652,0.456098,0.570293
0.41,0.641928,0.502094,0.5375
0.42,0.615344,0.547716,0.506584
0.43,0.589811,0.593039,0.477392
0.44,0.565155,0.638305,0.449687
0.45,0.54126,0.683703,0.423297
0.46,0.518199,0.729089,0.398255
0.47,0.496283,0.773787,0.37483
0.48,0.476071,0.816557,0.353556
0.49,0.458119,0.855633,0.335098
0.5,0.442661,0.889335,0.319721
0.51,0.431248,0.91548,0.308411
0.52,0.42562,0.931005,0.301792
0.53,0.423735,0.937305,0.298796
0.54,0.423244,0.936709,0.298908
0.55,0.423117,0.931894,0.300884
0.56,0.42384,0.92614,0.303465
0.57,0.42563,0.921548,0.305465
0.58,0.427788,0.919975,0.30637
0.59,0.429406,0.921677,0.30604
0.6,0.429872,0.925188,0.304575
0.61,0.428833,0.928389,0.303045
0.62,0.425687,0.930112,0.302321
0.63,0.418321,0.929931,0.302368
0.64,0.402265,0.929555,0.302534
0.65,0.376221,0.929858,0.302487
0.66,0.344159,0.929715,0.302661
0.67,0.31119,0.929033,0.302912
0.68,0.282839,0.928343,0.303048
0.69,0.264181,0.928899,0.303328
0.7,0.255395,0.929629,0.303545
0.71,0.252055,0.928474,0.303137
0.72,0.251701,0.926174,0.30231
0.73,0.253489,0.924272,0.301747
0.74,0.256849,0.924077,0.301866
0.75,0.260897,0.92454,0.302217
0.76,0.26448,0.924189,0.302307
0.77,0.26652,0.921452,0.301559
0.78,0.265842,0.911739,0.298047
0.79,0.258018,0.868754,0.284221
0.8,0.220239,0.674027,0.227553
0.81,0.15499,0.261704,0.138752
0.82,0.129319,0.039475,0.105297
0.83,0.125524,0.00475956,0.100664
0.84,0.125012,0.000192515,0.100035
0.85,0.124984,-0.000127246,0.0999812
0.86,0.125006,3.10198e-05,0.100004
0.87,0.125003,2.79863e-05,0.100004
0.88,0.124999,-5.37208e-06,0.0999993
0.89,0.125,-3.57637e-06,0.0999995
0.9,0.125,1.2941e-06,0.1
0.91,0.125,4.66751e-07,0.1
0.92,0.125,-2.47676e-07,0.1
0.93,0.125,-5.05912e-08,0.1
0.94,0.125,4.43087e-08,0.1
0.95,0.125,4.04009e-09,0.1
0.96,0.125,-7.35496e-09,0.1
0.97,0.125,9.61172e-12,0.1
0.98,0.125,1.12359e-09,0.1
0.99,0.125,2.82845e-12,0.1
1,0.125,0,0.1
