x,rho,u,p
0,1,0,1
0.01,1,-1.30486e-12,1
0.02,1,-6.16552e-12,1
0.03,1,3.0303e-12,1
0.04,1,3.27528e-11,1
0.05,1,6.43991e-12,1
0.06,1,-1.46151e-10,1
0.07,1,-1.31975e-10,1
0.08,1,5.50624e-10,1
0.09,1,9.97104e-10,1
0.1,1,-1.55077e-09,1
0.11,1,-5.46744e-09,1
0.12,1,1.60089e-09,1
0.13,1,2.34097e-08,1
0.14,1,1.58067e-08,1
0.15,1,-7.44566e-08,1
0.16,1,-1.35482e-07,1
0.17,1,1.29308e-07,1
0.18,0.999999,6.29555e-07,0.999999
0.19,1,2.78078e-07,1
0.2,1,-1.79894e-06,1
0.21,1,-3.14965e-06,1
0.22,0.999998,1.76993e-06,0.999998
0.23,0.999989,1.26277e-05,0.999985
0.24,0.999989,1.37577e-05,0.999984
0.25,1.00001,-1.36167e-05,1.00002
0.26,1.00004,-5.22484e-05,1.00006
0.27,1.00002,-2.00978e-05,1.00002
0.28,0.999789,0.000262495,0.999673
0.29,0.999009,0.00119111,0.998569
0.3,0.996971,0.00360208,0.995729
0.31,0.992136,0.009328,0.989001
0.32,0.980952,0.0226909,0.973443
0.33,0.959567,0.0486392,0.943842
0.34,0.929281,0.0861471,0.902404
0.35,0.894014,0.131071,0.854832
0.36,0.856888,0.17995,0.805535
0.37,0.819653,0.230721,0.756934
0.38,0.783096,0.282401,0.710068
0.39,0.747536,0.334552,0.665316
0.4,0.713134,0.386926,0.622827
0.41,0.680011,0.439297,0.582687
0.42,0.648288,0.491399,0.544974
0.43,0.618046,0.542988,0.509712
0.44,0.589221,0.594074,0.476738
0.45,0.561553,0.645068,0.445668
0.46,0.53482,0.696317,0.4162
0.47,0.509213,0.747297,0.388561
0.48,0.485348,0.796517,0.363434
0.49,0.464043,0.841899,0.341437
0.5,0.446809,0.880849,0.323516
0.51,0.434723,0.910921,0.310434
0.52,0.426748,0.930012,0.301831
0.53,0.421144,0.937237,0.298342
0.54,0.419055,0.93756,0.298915
0.55,0.420774,0.933374,0.300898
0.56,0.424797,0.927808,0.303469
0.57,0.429163,0.922651,0.305751
0.58,0.431963,0.920102,0.306884
0.59,0.431784,0.921302,0.306147
0.6,0.427971,0.92506,0.304221
0.61,0.41974,0.928213,0.303002
0.62,0.403987,0.929102,0.302828
0.63,0.378545,0.929659,0.302766
0.64,0.34666,0.93051,0.302543
0.65,0.313573,0.930733,0.3025
0.66,0.284651,0.930174,0.302692
0.67,0.264764,0.928504,0.302745
0.68,0.254869,0.925605,0.302063
0.69,0.25138,0.923814,0.301554
0.7,0.251342,0.92424,0.301723
0.71,0.253376,0.925385,0.302066
0.72,0.2566,0.925806,0.302277
0.73,0.259903,0.924429,0.301812
0.74,0.262104,0.918229,0.299519
0.75,0.261216,0.893656,0.291237
0.76,0.244011,0.783092,0.257614
0.77,0.180018,0.425565,0.169001
0.78,0.134375,0.0828107,0.111241
0.79,0.126252,0.0112286,0.101496
0.8,0.1251,0.000883942,0.100154
0.81,0.124975,-0.000144237,0.0999792
0.82,0.125001,-1.44901e-05,0.0999968
0.83,0.125005,4.21976e-05,0.100006
0.84,0.125,2.51795e-06,0.1
0.85,0.124999,-6.22503e-06,0.0999992
0.86,0.125,3.5083e-07,0.1
0.87,0.125,9.83465e-07,0.1
0.88,0.125,-1.41158e-07,0.1
0.89,0.125,-1.39425e-07,0.1
0.9,0.125,3.49867e-08,0.1
0.91,0.125,1.82846e-08,0.1
0.92,0.125,-7.00198e-09,0.1
0.93,0.125,-2.08896e-09,0.1
0.94,0.125,1.24767e-09,0.1
0.95,0.125,1.80528e-10,0.1
0.96,0.125,-2.03272e-10,0.1
0.97,0.125,-2.89693e-12,0.1
0.98,0.125,3.01671e-11,0.1
0.99,0.125,-5.5725e-13,0.1
1,0.125,0,0.1
