x,rho,u,p
0,1,0,1
0.01,1,0,1
0.02,1,0,1
0.03,1,0,1
0.04,1,0,1
0.05,1,0,1
0.06,1,0,1
0.07,1,0,1
0.08,1,0,1
0.09,1,0,1
0.1,1,0,1
0.11,1,0,1
0.12,1,0,1
0.13,1,0,1
0.14,1,0,1
0.15,1,0,1
0.16,1,0,1
0.17,1,0,1
0.18,1,0,1
0.19,1,0,1
0.2,1,0,1
0.21,1,0,1
0.22,1,-2.13006e-17,1
0.23,1,3.19462e-16,1
0.24,1,-1.81502e-16,1
0.25,1,-6.25749e-15,1
0.26,1,1.83669e-14,1
0.27,1,6.48454e-14,1
0.28,1,-4.463e-13,1
0.29,1,-8.74873e-14,1
0.3,1,6.97813e-12,1
0.31,1,-1.16555e-11,1
0.32,1,-7.73135e-11,1
0.33,1,2.80408e-10,1
0.34,1,5.76969e-10,1
0.35,1,-4.16385e-09,1
0.36,1,-1.51142e-09,1
0.37,1,4.79444e-08,1
0.38,1,-2.58919e-08,1
0.39,1,-4.29814e-07,1
0.4,1,6.089e-07,0.999999
0.41,0.999997,3.87197e-06,0.999995
0.42,0.999999,-3.2071e-06,1.00001
0.43,1.00002,-1.7138e-05,1.00002
0.44,0.999933,9.08846e-05,0.999858
0.45,0.999181,0.00098128,0.998805
0.46,0.995051,0.00571855,0.993209
0.47,0.976517,0.0273016,0.968082
0.48,0.907474,0.113421,0.874092
0.49,0.770099,0.294561,0.701395
0.5,0.598416,0.54703,0.509187
0.51,0.451356,0.808153,0.372079
0.52,0.350176,0.974081,0.310812
0.53,0.26346,0.866674,0.263062
0.54,0.177941,0.450733,0.172156
0.55,0.134051,0.0846935,0.11153
0.56,0.126248,0.0113025,0.101501
0.57,0.125099,0.000871695,0.100151
0.58,0.124977,-0.000126136,0.0999818
0.59,0.125,-2.10427e-05,0.099996
0.6,0.125003,2.78419e-05,0.100004
0.61,0.125,2.53725e-06,0.1
0.62,0.125,-2.73269e-06,0.0999996
0.63,0.125,7.95506e-08,0.1
0.64,0.125,2.52948e-07,0.1
0.65,0.125,-3.21351e-08,0.1
0.66,0.125,-1.68154e-08,0.1
0.67,0.125,4.50449e-09,0.1
0.68,0.125,7.18031e-10,0.1
0.69,0.125,-4.05695e-10,0.1
0.7,0.125,2.55916e-12,0.1
0.71,0.125,2.59897e-11,0.1
0.72,0.125,-3.53955e-12,0.1
0.73,0.125,-1.07938e-12,0.1
0.74,0.125,3.4741e-13,0.1
0.75,0.125,1.24162e-14,0.1
0.76,0.125,-2.00861e-14,0.1
0.77,0.125,2.08781e-15,0.1
0.78,0.125,6.85938e-16,0.1
0.79,0.125,-1.48722e-16,0.1
0.8,0.125,1.6145e-17,0.1
0.81,0.125,1.06386e-17,0.1
0.82,0.125,0,0.1
0.83,0.125,0,0.1
0.84,0.125,0,0.1
0.85,0.125,0,0.1
0.86,0.125,0,0.1
0.87,0.125,0,0.1
0.88,0.125,0,0.1
0.89,0.125,0,0.1
0.9,0.125,0,0.1
0.91,0.125,0,0.1
0.92,0.125,0,0.1
0.93,0.125,0,0.1
0.94,0.125,0,0.1
0.95,0.125,0,0.1
0.96,0.125,0,0.1
0.97,0.125,0,0.1
0.98,0.125,-1.50603e-16,0.1
0.99,0.125,-1.16211e-16,0.1
1,0.125,0,0.1
