x,rho,u,p
0,1,0,1
0.01,1,-1.44427e-10,1
0.02,1,-1.89064e-10,1
0.03,1,7.7189e-10,1
0.04,1,1.59924e-09,1
0.05,1,-1.57176e-09,1
0.06,1,-7.65362e-09,1
0.07,1,-1.7071e-09,1
0.08,1,2.64845e-08,1
0.09,1,3.42715e-08,1
0.1,1,-5.637e-08,1
0.11,1,-1.82663e-07,1
0.12,1,-2.13689e-08,1
0.13,1,5.82029e-07,0.999999
0.14,0.999999,7.95926e-07,0.999999
0.15,1,-8.16963e-07,1
0.16,1,-3.53771e-06,1
0.17,1,-2.36557e-06,1
0.18,0.999994,7.19075e-06,0.999991
0.19,0.999985,1.80022e-05,0.999979
0.2,0.999992,9.24148e-06,0.999989
0.21,1.00002,-2.9943e-05,1.00004
0.22,1.00005,-6.38862e-05,1.00008
0.23,0.999999,6.07366e-06,0.999991
0.24,0.999687,0.000382416,0.999532
0.25,0.998759,0.00148323,0.998228
0.26,0.996495,0.00416294,0.995072
0.27,0.991348,0.0102668,0.987904
0.28,0.980084,0.0237449,0.97223
0.29,0.960523,0.047471,0.945161
0.3,0.934461,0.0796613,0.909458
0.31,0.904906,0.117053,0.869443
0.32,0.874068,0.157143,0.828232
0.33,0.843142,0.198508,0.787478
0.34,0.812647,0.240505,0.747873
0.35,0.782783,0.282871,0.709662
0.36,0.753638,0.325481,0.672929
0.37,0.725268,0.368241,0.637718
0.38,0.697727,0.411048,0.60406
0.39,0.671075,0.45378,0.571992
0.4,0.645366,0.496304,0.541539
0.41,0.620617,0.538539,0.512679
0.42,0.596778,0.580517,0.48531
0.43,0.57373,0.622394,0.459265
0.44,0.551359,0.664344,0.434385
0.45,0.529638,0.706383,0.410618
0.46,0.50871,0.748205,0.388093
0.47,0.488897,0.789106,0.367098
0.48,0.470618,0.82813,0.347954
0.49,0.454421,0.864194,0.331126
0.5,0.440704,0.894807,0.317397
0.51,0.429621,0.918208,0.307113
0.52,0.424249,0.931827,0.30165
0.53,0.423358,0.936471,0.299413
0.54,0.424296,0.935769,0.299395
0.55,0.425722,0.931613,0.301194
0.56,0.426562,0.925848,0.303576
0.57,0.426585,0.921395,0.305499
0.58,0.426265,0.91983,0.306091
0.59,0.426264,0.921354,0.305416
0.6,0.42688,0.924706,0.304233
0.61,0.427661,0.928078,0.303047
0.62,0.427907,0.930229,0.302268
0.63,0.426733,0.930744,0.302116
0.64,0.422215,0.929816,0.302447
0.65,0.410119,0.929009,0.302775
0.66,0.387366,0.929109,0.302728
0.67,0.356829,0.928876,0.302854
0.68,0.323417,0.928628,0.30307
0.69,0.292529,0.928144,0.30301
0.7,0.269549,0.927281,0.302787
0.71,0.257517,0.928361,0.303114
0.72,0.253085,0.929863,0.303591
0.73,0.252219,0.92981,0.303721
0.74,0.253437,0.928337,0.303406
0.75,0.256043,0.925974,0.302761
0.76,0.259508,0.923949,0.302228
0.77,0.263248,0.923397,0.302157
0.78,0.266462,0.923494,0.30227
0.79,0.268285,0.922725,0.302064
0.8,0.267956,0.918786,0.300665
0.81,0.263692,0.901323,0.294775
0.82,0.246284,0.822527,0.269778
0.83,0.190069,0.512982,0.188285
0.84,0.138538,0.122796,0.117067
0.85,0.126869,0.0169853,0.102264
0.86,0.125181,0.00161461,0.100261
0.87,0.124977,-9.86856e-05,0.0999859
0.88,0.124996,-5.09006e-05,0.0999917
0.89,0.125006,4.56273e-05,0.100006
0.9,0.125001,9.66114e-06,0.100001
0.91,0.124999,-7.23184e-06,0.099999
0.92,0.125,-6.49494e-07,0.0999999
0.93,0.125,1.2719e-06,0.1
0.94,0.125,-7.99948e-09,0.1
0.95,0.125,-2.01731e-07,0.1
0.96,0.125,2.08221e-08,0.1
0.97,0.125,3.04415e-08,0.1
0.98,0.125,-5.48606e-09,0.1
0.99,0.125,-3.47723e-09,0.1
1,0.125,0,0.1
