x,rho,u,p
0,1,0,1
0.01,1,-2.37511e-11,1
0.02,1,9.42282e-10,1
0.03,1,1.71446e-09,1
0.04,1,-1.90888e-09,1
0.05,1,-8.33411e-09,1
0.06,1,-1.45923e-09,1
0.07,1,2.86984e-08,1
0.08,1,3.62851e-08,1
0.09,1,-5.96155e-08,1
0.1,1,-1.92614e-07,1
0.11,1,-2.88796e-08,1
0.12,0.999999,5.96005e-07,0.999999
0.13,0.999999,8.47151e-07,0.999999
0.14,1,-7.54394e-07,1
0.15,1,-3.59005e-06,1
0.16,1,-2.71387e-06,1
0.17,0.999994,6.66167e-06,0.999992
0.18,0.999985,1.81628e-05,0.999979
0.19,0.999991,1.12865e-05,0.999987
0.2,1.00002,-2.67638e-05,1.00003
0.21,1.00005,-6.48285e-05,1.00008
0.22,1.00001,-1.07889e-05,1.00001
0.23,0.999737,0.000321591,0.999606
0.24,0.9989,0.00131609,0.998426
0.25,0.996846,0.00374695,0.995562
0.26,0.992192,0.00926328,0.98908
0.27,0.981974,0.0214739,0.974857
0.28,0.963824,0.0434415,0.949713
0.29,0.939178,0.0737817,0.915892
0.3,0.91091,0.109379,0.877531
0.31,0.881225,0.147742,0.837744
0.32,0.851351,0.187414,0.798237
0.33,0.821833,0.227727,0.75974
0.34,0.792878,0.26841,0.722513
0.35,0.764574,0.309342,0.686647
0.36,0.736973,0.35044,0.65218
0.37,0.71012,0.391621,0.619142
0.38,0.684065,0.432787,0.58756
0.39,0.658858,0.473822,0.557462
0.4,0.634533,0.514628,0.528852
0.41,0.61108,0.555173,0.50168
0.42,0.588427,0.595536,0.475828
0.43,0.566464,0.635872,0.451142
0.44,0.545111,0.676305,0.427507
0.45,0.524385,0.716769,0.404922
0.46,0.504453,0.756897,0.383545
0.47,0.48557,0.79608,0.363622
0.48,0.468057,0.833577,0.345354
0.49,0.452622,0.868279,0.329265
0.5,0.439863,0.897232,0.316373
0.51,0.429318,0.919076,0.306617
0.52,0.423799,0.931909,0.301504
0.53,0.422886,0.936331,0.299636
0.54,0.424165,0.935455,0.299693
0.55,0.426228,0.93135,0.301377
0.56,0.427793,0.925718,0.303675
0.57,0.427824,0.921454,0.305495
0.58,0.426807,0.920258,0.306112
0.59,0.42567,0.921505,0.305324
0.6,0.425377,0.924558,0.30403
0.61,0.426105,0.92766,0.302839
0.62,0.427065,0.929893,0.302134
0.63,0.42739,0.930853,0.302033
0.64,0.426004,0.930332,0.30234
0.65,0.420187,0.928891,0.302831
0.66,0.404919,0.928534,0.302905
0.67,0.379231,0.928707,0.302851
0.68,0.347179,0.928533,0.302996
0.69,0.313878,0.928504,0.303145
0.7,0.284749,0.927986,0.303011
0.71,0.264804,0.926943,0.30271
0.72,0.255475,0.927819,0.302982
0.73,0.252506,0.929276,0.30352
0.74,0.252573,0.929691,0.303863
0.75,0.25445,0.929002,0.303826
0.76,0.257432,0.927129,0.303336
0.77,0.260905,0.924935,0.302686
0.78,0.26435,0.923621,0.302282
0.79,0.267208,0.923314,0.30219
0.8,0.268825,0.922837,0.302032
0.81,0.268596,0.92053,0.301258
0.82,0.265336,0.91019,0.297688
0.83,0.253794,0.862809,0.282405
0.84,0.211682,0.646924,0.220652
0.85,0.15038,0.229027,0.133547
0.86,0.128625,0.0334161,0.104485
0.87,0.125425,0.00388127,0.100554
0.88,0.125001,0.000107328,0.10002
0.89,0.124987,-0.000113641,0.0999831
0.9,0.125006,3.6756e-05,0.100004
0.91,0.125003,2.4196e-05,0.100003
0.92,0.124999,-6.29818e-06,0.0999992
0.93,0.125,-2.94442e-06,0.0999996
0.94,0.125,1.37687e-06,0.1
0.95,0.125,3.5768e-07,0.1
0.96,0.125,-2.52588e-07,0.1
0.97,0.125,-3.28591e-08,0.1
0.98,0.125,4.25966e-08,0.1
0.99,0.125,3.91789e-09,0.1
1,0.125,0,0.1
