x,rho,u,p
0,1,0,1
0.01,1,1.88477e-11,1
0.02,1,3.86555e-11,1
0.03,1,-9.12775e-11,1
0.04,1,-2.57652e-10,1
0.05,1,1.88706e-10,1
0.06,1,1.23269e-09,1
0.07,1,2.8688e-10,1
0.08,1,-4.70284e-09,1
0.09,1,-5.47971e-09,1
0.1,1,1.29526e-08,1
0.11,1,3.36376e-08,1
0.12,1,-1.3537e-08,1
0.13,1,-1.36694e-07,1
0.14,1,-1.02516e-07,1
0.15,1,3.58431e-07,1
0.16,0.999999,7.74139e-07,0.999999
0.17,1,-2.32228e-07,1
0.18,1,-2.78533e-06,1
0.19,1,-2.92027e-06,1
0.2,0.999996,4.64847e-06,0.999994
0.21,0.999987,1.5831e-05,0.999981
0.22,0.99999,1.15139e-05,0.999986
0.23,1.00002,-2.29879e-05,1.00003
0.24,1.00005,-5.91454e-05,1.00007
0.25,1.00001,-3.96118e-06,1
0.26,0.999724,0.00033846,0.999583
0.27,0.998845,0.00138382,0.998344
0.28,0.996637,0.00399593,0.995267
0.29,0.99153,0.0100495,0.988157
0.3,0.980067,0.0237607,0.97221
0.31,0.959413,0.0488284,0.94363
0.32,0.931293,0.083623,0.905144
0.33,0.899123,0.12448,0.861676
0.34,0.865471,0.168513,0.81685
0.35,0.831742,0.214054,0.772609
0.36,0.798551,0.260336,0.729769
0.37,0.766144,0.307033,0.688624
0.38,0.734631,0.353979,0.649279
0.39,0.704093,0.401032,0.611793
0.4,0.674612,0.448029,0.576218
0.41,0.646273,0.494782,0.542602
0.42,0.619114,0.541151,0.510936
0.43,0.593062,0.58718,0.481082
0.44,0.567939,0.633112,0.452793
0.45,0.543605,0.679175,0.425868
0.46,0.520121,0.725257,0.400319
0.47,0.497785,0.770694,0.37641
0.48,0.47715,0.814244,0.354686
0.49,0.458813,0.854004,0.335854
0.5,0.443097,0.888257,0.320188
0.51,0.431622,0.914921,0.308647
0.52,0.425889,0.930897,0.301814
0.53,0.42371,0.937481,0.298705
0.54,0.422769,0.936694,0.298814
0.55,0.422521,0.931977,0.300879
0.56,0.423563,0.926256,0.303464
0.57,0.425859,0.921729,0.305484
0.58,0.428362,0.920058,0.306468
0.59,0.430011,0.921719,0.306142
0.6,0.430166,0.925191,0.304576
0.61,0.428544,0.928405,0.302998
0.62,0.424453,0.92999,0.302339
0.63,0.415249,0.929749,0.302422
0.64,0.396525,0.929666,0.302517
0.65,0.368529,0.930021,0.302482
0.66,0.335745,0.929792,0.302668
0.67,0.303426,0.929048,0.302898
0.68,0.277156,0.928546,0.303141
0.69,0.261234,0.929328,0.303478
0.7,0.254112,0.929099,0.303386
0.71,0.251595,0.927202,0.302689
0.72,0.251845,0.924904,0.301874
0.73,0.254172,0.924094,0.301688
0.74,0.257859,0.924548,0.301986
0.75,0.261873,0.924769,0.302315
0.76,0.265016,0.923499,0.3021
0.77,0.266229,0.918511,0.300426
0.78,0.263725,0.898939,0.293822
0.79,0.247146,0.812084,0.266526
0.8,0.188087,0.488336,0.182554
0.81,0.137304,0.109949,0.115144
0.82,0.126682,0.0151698,0.102019
0.83,0.125156,0.00137674,0.100227
0.84,0.124976,-0.000116465,0.0999832
0.85,0.124998,-4.04195e-05,0.0999932
0.86,0.125006,4.51728e-05,0.100006
0.87,0.125001,7.50768e-06,0.100001
0.88,0.124999,-7.02192e-06,0.0999991
0.89,0.125,-3.34761e-07,0.1
0.9,0.125,1.198e-06,0.1
0.91,0.125,-5.20596e-08,0.1
0.92,0.125,-1.84614e-07,0.1
0.93,0.125,2.5782e-08,0.1
0.94,0.125,2.70153e-08,0.1
0.95,0.125,-6.48076e-09,0.1
0.96,0.125,-3.65846e-09,0.1
0.97,0.125,1.32096e-09,0.1
0.98,0.125,4.63651e-10,0.1
0.99,0.125,-1.42382e-10,0.1
1,0.125,0,0.1
